TestNo,TestName
88,org.webbitserver.netty.FlashPolicyFileTest[returnsCrossDomainXMLWithDefaultHTTPPublicPort]
89,org.webbitserver.netty.FlashPolicyFileTest[returnsCrossDomainXMLWithPublicPort]
90,org.webbitserver.netty.FlashPolicyFileTest[returnsCrossDomainXML]
91,org.webbitserver.netty.NettyWebServerTest[restartServerDoesNotThrowException]
92,org.webbitserver.handler.CookieTest[parsesOneInboundCookie]
93,org.webbitserver.handler.PostTest[exposesPostParamKeys]
94,org.webbitserver.handler.ServerHeaderHandlerTest[canBeClearedByOtherHandlers]
95,org.webbitserver.handler.CookieTest[doesntSetMaxAgeIfUnspecified]
96,org.webbitserver.handler.CookieTest[behavesWellWhenThereAreNoInboundCookies]
97,org.webbitserver.handler.CookieTest[setsOneOutboundCookie]
98,org.webbitserver.handler.EmbeddedResourceHandlerTest[shouldWorkWithBiggerFilesUsingEmbedded]
99,org.webbitserver.handler.EmbeddedResourceHandlerTest[shouldWorkInRealServer]
100,org.webbitserver.handler.PostTest[exposesPostBodyAsBytes]
101,org.webbitserver.handler.StaticFileHandlerTest[shouldHandleCacheHeaders]
102,org.webbitserver.handler.StaticFileHandlerTest[shouldGuessMimeTypeFromExtension]
103,org.webbitserver.handler.CookieTest[parsesCookiesWithExtraAttributes]
104,org.webbitserver.handler.StaticFileHandlerTest[shouldServesWelcomePagesForDirectories]
105,org.webbitserver.netty.NettyHttpRequestTest[decodesQueryParamsContainingEncodedEquals]
106,org.webbitserver.handler.PostTest[max_content_length_can_be_increased]
107,org.webbitserver.handler.EmbeddedResourceHandlerTest[shouldWorkWithBiggerFilesUsingFileHandler]
108,org.webbitserver.handler.PostTest[exposesBodyInRequest]
109,org.webbitserver.handler.CookieTest[setsTwoOutboundCookies]
110,org.webbitserver.handler.CompressionTest[compressedPostIsUncompressedProperly]
111,org.webbitserver.handler.PostTest[request_body_longer_than_max_content_length_causes_500_and_does_not_invoke_handlers]
112,org.webbitserver.netty.FlashPolicyFileTest[returnsCrossDomainXMLWithDefaultHTTPSPublicPort]
113,org.webbitserver.netty.NettyWebServerTest[stopsServerCleanlyAlsoWhenClientsAreConnected]
114,org.webbitserver.handler.ServerHeaderHandlerTest[setsHttpServerHeader]
115,org.webbitserver.handler.StaleConnectionTest[closesConnectionAfterTimeoutIfClientKeepsConnectioOpen]
116,org.webbitserver.handler.StaticFileHandlerTest[shouldWorkInRealServer]
117,org.webbitserver.handler.PostTest[exposesPostBodyAsParameters]
118,org.webbitserver.handler.EmbeddedResourceHandlerTest[canUseTemplateEngine]
119,org.webbitserver.handler.CookieTest[parsesThreeInboundCookiesInTwoHeaders]
120,org.webbitserver.handler.CompressionTest[compressedResponseIsSentProperly]
121,org.webbitserver.handler.PathMatchHandlerTest[handsOffWhenNoMatch]
122,org.webbitserver.handler.AliasHandlerTest[forwardsAliasedPath]
123,org.webbitserver.handler.SslTest[setsSecureHttpsServerHeader]
124,org.webbitserver.handler.PostTest[close_connection_midway_through_response_does_not_error_infinitely]
125,org.webbitserver.stub.StubHttpRequestTest[testRemoteAddress]
126,org.webbitserver.netty.NettyWebServerTest[stopsServerCleanlyNotLeavingResourcesHanging]
