subject,proportion,k,rSquare,adjRSquare,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
LastCalc,5%,0.981934889,0.981275052,0.98126568,0.391409,6635,2597,34,4594,0.5124
JAdventure,1%,0.818685465,0.803860917,0.803762749,0.144959,5098,739,35,3785,0.6865
JAdventure,2%,0.87765215,0.862430405,0.862361552,0.144959,5098,739,35,3785,0.6865
JAdventure,3%,0.926693244,0.929453684,0.929418376,0.144959,5098,739,35,3785,0.6865
JAdventure,4%,0.949948561,0.942259983,0.942231084,0.144959,5098,739,35,3785,0.6865
JAdventure,5%,0.939727701,0.945819957,0.94579284,0.144959,5098,739,35,3785,0.6865
invokebinder,1%,0.746945596,0.755964908,0.755842768,0.44779,1561,699,107,1623,6.8546
invokebinder,2%,0.877737998,0.878033138,0.877972094,0.44779,1561,699,107,1623,6.8546
invokebinder,3%,0.933357176,0.903533997,0.903485716,0.44779,1561,699,107,1623,6.8546
invokebinder,4%,0.925956747,0.946720519,0.946693853,0.44779,1561,699,107,1623,6.8546
invokebinder,5%,0.929522098,0.941571003,0.941541759,0.44779,1561,699,107,1623,6.8546
mimecraft,1%,0.668938444,0.701017374,0.700867733,0.784512,297,233,14,394,4.7138
mimecraft,2%,0.789626354,0.800232548,0.800132565,0.784512,297,233,14,394,4.7138
mimecraft,3%,0.848972435,0.871829428,0.871765278,0.784512,297,233,14,394,4.7138
mimecraft,4%,0.862709261,0.853647386,0.853574136,0.784512,297,233,14,394,4.7138
mimecraft,5%,0.910726735,0.910240526,0.910195601,0.784512,297,233,14,394,4.7138
pollexor,1%,0.777351712,0.78122502,0.781115523,0.848929,887,753,58,592,6.5389
pollexor,2%,0.862444247,0.870921289,0.870856685,0.848929,887,753,58,592,6.5389
pollexor,3%,0.908902185,0.909241698,0.909196273,0.848929,887,753,58,592,6.5389
pollexor,4%,0.923359899,0.917219065,0.917177633,0.848929,887,753,58,592,6.5389
pollexor,5%,0.934468353,0.946130213,0.946103251,0.848929,887,753,58,592,6.5389
nar-maven-plugin,1%,0.892428238,0.908399854,0.908354008,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,2%,0.959276309,0.953822543,0.953799431,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,3%,0.985217217,0.974930447,0.974917899,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,4%,0.979414504,0.981629841,0.981620646,0.09281,27928,2592,465,23665,1.665
nar-maven-plugin,5%,0.978414184,0.97917324,0.979162816,0.09281,27928,2592,465,23665,1.665
xembly,1%,0.763451258,0.796706165,0.796604416,0.38895,2715,1056,57,1202,2.0994
xembly,2%,0.888565811,0.905015606,0.904968067,0.38895,2715,1056,57,1202,2.0994
xembly,3%,0.943876247,0.936797679,0.936766046,0.38895,2715,1056,57,1202,2.0994
xembly,4%,0.934476556,0.959071796,0.959051311,0.38895,2715,1056,57,1202,2.0994
xembly,5%,0.961497739,0.956709772,0.956688106,0.38895,2715,1056,57,1202,2.0994
dropwizard-guice,1%,0.56141415,0.539669484,0.539439089,0.509934,302,154,15,381,4.9669
dropwizard-guice,2%,0.73050798,0.737329654,0.737198188,0.509934,302,154,15,381,4.9669
dropwizard-guice,3%,0.723340587,0.699426824,0.699276387,0.509934,302,154,15,381,4.9669
dropwizard-guice,4%,0.866591004,0.829663342,0.829578089,0.509934,302,154,15,381,4.9669
dropwizard-guice,5%,0.837809485,0.814067867,0.813974808,0.509934,302,154,15,381,4.9669
jackson-datatype-joda,1%,0.775633809,0.768011606,0.767895495,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,2%,0.878544328,0.884838682,0.884781044,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,3%,0.927515708,0.926769457,0.926732805,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,4%,0.937699131,0.942514214,0.942485442,0.556931,1212,675,73,1543,6.0231
jackson-datatype-joda,5%,0.945309482,0.946404234,0.946377409,0.556931,1212,675,73,1543,6.0231
cassandra-reaper,1%,0.879590439,0.874985077,0.874922507,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,2%,0.929006814,0.940711649,0.940681975,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,3%,0.955851843,0.958170273,0.958149337,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,4%,0.966676456,0.962015317,0.961996306,0.245935,4981,1225,104,5444,2.0879
cassandra-reaper,5%,0.98255946,0.970907786,0.970893226,0.245935,4981,1225,104,5444,2.0879
jmeter-maven-plugin,1%,0.649813672,0.699213293,0.699062749,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,2%,0.832443082,0.836217287,0.836135314,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,3%,0.863648029,0.887057654,0.887001126,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,4%,0.889677775,0.905656931,0.905609712,0.264614,2241,593,57,1297,2.5435
jmeter-maven-plugin,5%,0.906311146,0.913244364,0.913200943,0.264614,2241,593,57,1297,2.5435
jPopulator,1%,0.766686599,0.75693026,0.756808604,0.509338,1178,600,70,969,5.9423
jPopulator,2%,0.83607119,0.840268172,0.840188226,0.509338,1178,600,70,969,5.9423
jPopulator,3%,0.907622085,0.900773287,0.900723624,0.509338,1178,600,70,969,5.9423
jPopulator,4%,0.927447686,0.929384411,0.929349068,0.509338,1178,600,70,969,5.9423
jPopulator,5%,0.95019865,0.939875791,0.939845698,0.509338,1178,600,70,969,5.9423
geocluster-facet,1%,0.705358437,0.709779485,0.709634229,0.488449,606,296,15,553,2.4752
geocluster-facet,2%,0.765935597,0.777073925,0.776962351,0.488449,606,296,15,553,2.4752
geocluster-facet,3%,0.844755009,0.864067835,0.863999801,0.488449,606,296,15,553,2.4752
geocluster-facet,4%,0.906588945,0.912956333,0.912912767,0.488449,606,296,15,553,2.4752
geocluster-facet,5%,0.945582881,0.942168519,0.942139574,0.488449,606,296,15,553,2.4752
wsc,1%,0.946777775,0.961607853,0.961588638,0.094083,17931,1687,16,13016,0.0892
wsc,2%,0.993423742,0.984208001,0.984200097,0.094083,17931,1687,16,13016,0.0892
wsc,3%,0.975663257,0.99219293,0.992189022,0.094083,17931,1687,16,13016,0.0892
wsc,4%,0.990266507,0.991255786,0.99125141,0.094083,17931,1687,16,13016,0.0892
wsc,5%,0.992814795,0.995405418,0.995403118,0.094083,17931,1687,16,13016,0.0892
obd-java-api,1%,0.643623359,0.630734105,0.630549287,0.434673,796,346,42,1111,5.2764
obd-java-api,2%,0.739388863,0.734263986,0.734130985,0.434673,796,346,42,1111,5.2764
obd-java-api,3%,0.852471314,0.8313739,0.831289502,0.434673,796,346,42,1111,5.2764
obd-java-api,4%,0.840543102,0.828901093,0.828815458,0.434673,796,346,42,1111,5.2764
obd-java-api,5%,0.864374032,0.865640738,0.865573492,0.434673,796,346,42,1111,5.2764
sonar-objective-c,1%,0.727586624,0.742533912,0.74240505,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,2%,0.846408228,0.831657408,0.831573153,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,3%,0.837792841,0.827014585,0.826928006,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,4%,0.865902659,0.887142713,0.887086228,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,5%,0.900556559,0.904915346,0.904867756,0.256795,1067,274,31,1441,2.9053
spring-retry,1%,0.851401201,0.852601704,0.852527931,0.611063,2296,1403,185,2716,8.0575
spring-retry,2%,0.934646876,0.927584541,0.927548297,0.611063,2296,1403,185,2716,8.0575
spring-retry,3%,0.943024592,0.947024284,0.94699777,0.611063,2296,1403,185,2716,8.0575
spring-retry,4%,0.964056323,0.958691914,0.958671239,0.611063,2296,1403,185,2716,8.0575
spring-retry,5%,0.965044914,0.970544773,0.970530031,0.611063,2296,1403,185,2716,8.0575
jprotobuf,1%,0.890789085,0.890018117,0.889963071,0.337189,4496,1516,49,3015,1.0899
jprotobuf,2%,0.945211125,0.941167545,0.9411381,0.337189,4496,1516,49,3015,1.0899
jprotobuf,3%,0.94505361,0.946273861,0.946246971,0.337189,4496,1516,49,3015,1.0899
jprotobuf,4%,0.962401261,0.964010516,0.963992503,0.337189,4496,1516,49,3015,1.0899
jprotobuf,5%,0.960616291,0.973174837,0.973161411,0.337189,4496,1516,49,3015,1.0899
jmxutils,1%,0.833716997,0.836210105,0.836128128,0.564184,1893,1068,754,2284,39.831
jmxutils,2%,0.90664172,0.942034871,0.942005859,0.564184,1893,1068,754,2284,39.831
jmxutils,3%,0.966274357,0.949849394,0.949824293,0.564184,1893,1068,754,2284,39.831
jmxutils,4%,0.960114673,0.967613975,0.967597766,0.564184,1893,1068,754,2284,39.831
jmxutils,5%,0.972756184,0.967810352,0.967794241,0.564184,1893,1068,754,2284,39.831
JActor,1%,0.463595017,0.447614494,0.447338024,0.095861,1377,132,60,2413,4.3573
JActor,2%,0.602274099,0.614582924,0.614390023,0.095861,1377,132,60,2413,4.3573
JActor,3%,0.599274626,0.633008523,0.632824844,0.095861,1377,132,60,2413,4.3573
JActor,4%,0.652077992,0.647835691,0.647659432,0.095861,1377,132,60,2413,4.3573
JActor,5%,0.701307832,0.70445183,0.704303908,0.095861,1377,132,60,2413,4.3573
brickhouse,1%,0.731804918,0.750566995,0.750442154,0.049623,9411,467,30,8831,0.3188
brickhouse,2%,0.857217871,0.867441719,0.867375373,0.049623,9411,467,30,8831,0.3188
brickhouse,3%,0.882665468,0.889724269,0.889669076,0.049623,9411,467,30,8831,0.3188
brickhouse,4%,0.918457666,0.933758468,0.933725314,0.049623,9411,467,30,8831,0.3188
brickhouse,5%,0.93376934,0.919355492,0.91931513,0.049623,9411,467,30,8831,0.3188
JavaVerbalExpressions,1%,0.623415052,0.586238918,0.58603183,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,2%,0.750328475,0.753707251,0.753583981,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,3%,0.783700667,0.796008343,0.795906245,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,4%,0.859783629,0.849793843,0.849718664,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,5%,0.864598557,0.877914509,0.877853406,0.786967,399,314,69,326,17.2932
metrics-statsd,1%,0.708735902,0.699153259,0.699002685,0.757353,408,309,11,310,2.6961
metrics-statsd,2%,0.783939313,0.777156521,0.777044988,0.757353,408,309,11,310,2.6961
metrics-statsd,3%,0.828168694,0.825647237,0.825559973,0.757353,408,309,11,310,2.6961
metrics-statsd,4%,0.872095399,0.879869639,0.879809513,0.757353,408,309,11,310,2.6961
metrics-statsd,5%,0.910359056,0.906426876,0.906380042,0.757353,408,309,11,310,2.6961
rtree,1%,0.843971682,0.868592417,0.868526648,0.737774,2147,1584,199,1806,9.2687
rtree,2%,0.933486069,0.915979277,0.915937224,0.737774,2147,1584,199,1806,9.2687
rtree,3%,0.940616977,0.947748936,0.947722784,0.737774,2147,1584,199,1806,9.2687
rtree,4%,0.96605059,0.956373572,0.956351737,0.737774,2147,1584,199,1806,9.2687
rtree,5%,0.961724901,0.966762099,0.966745464,0.737774,2147,1584,199,1806,9.2687
java-uuid-generator,1%,0.838620799,0.810089169,0.809994118,0.394311,2039,804,45,1764,2.207
java-uuid-generator,2%,0.898102291,0.894438541,0.894385707,0.394311,2039,804,45,1764,2.207
java-uuid-generator,3%,0.920763282,0.927438954,0.927402637,0.394311,2039,804,45,1764,2.207
java-uuid-generator,4%,0.952015043,0.934203166,0.934170235,0.394311,2039,804,45,1764,2.207
java-uuid-generator,5%,0.946970398,0.952969595,0.952946056,0.394311,2039,804,45,1764,2.207
WorldGuard,1%,0.760891364,0.779573979,0.779463655,0.043556,25875,1127,148,21845,0.572
WorldGuard,2%,0.888841569,0.866132302,0.866065301,0.043556,25875,1127,148,21845,0.572
WorldGuard,3%,0.941618923,0.907297651,0.907251253,0.043556,25875,1127,148,21845,0.572
WorldGuard,4%,0.892469583,0.910072314,0.910027305,0.043556,25875,1127,148,21845,0.572
WorldGuard,5%,0.941739733,0.936582462,0.936550722,0.043556,25875,1127,148,21845,0.572
gson-fire,1%,0.745374849,0.727215507,0.727078979,0.688742,755,520,36,895,4.7682
gson-fire,2%,0.815031492,0.821033273,0.8209437,0.688742,755,520,36,895,4.7682
gson-fire,3%,0.888847881,0.897931905,0.89788082,0.688742,755,520,36,895,4.7682
gson-fire,4%,0.891373415,0.896396181,0.896344327,0.688742,755,520,36,895,4.7682
gson-fire,5%,0.926362428,0.920144411,0.920104443,0.688742,755,520,36,895,4.7682
pusher-websocket-java,1%,0.815854632,0.793950435,0.793847307,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,2%,0.854011885,0.853117091,0.853043576,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,3%,0.890103913,0.887123213,0.887066718,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,4%,0.920530641,0.939751302,0.939721148,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,5%,0.932280888,0.934264444,0.934231543,0.578912,1470,851,204,1634,13.8776
DiskLruCache,1%,0.665558044,0.602692881,0.602494028,0.575499,1053,606,61,780,5.793
DiskLruCache,2%,0.705504343,0.775443659,0.775331268,0.575499,1053,606,61,780,5.793
DiskLruCache,3%,0.791041902,0.803194565,0.803096064,0.575499,1053,606,61,780,5.793
DiskLruCache,4%,0.844862791,0.887165963,0.88710949,0.575499,1053,606,61,780,5.793
DiskLruCache,5%,0.853708714,0.87674588,0.876684191,0.575499,1053,606,61,780,5.793
jackson-dataformat-csv,1%,0.851950007,0.869991863,0.869926794,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,2%,0.93791478,0.942259836,0.942230937,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,3%,0.984456718,0.957138996,0.957117544,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,4%,0.963911435,0.95728099,0.957259609,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,5%,0.977147165,0.973858471,0.973845387,0.317734,6795,2159,100,5242,1.4717
scrypt,1%,0.879542066,0.897195418,0.897143964,0.837418,1224,1025,22,467,1.7974
scrypt,2%,0.930018639,0.954814196,0.954791581,0.837418,1224,1025,22,467,1.7974
scrypt,3%,0.970360257,0.96816456,0.968148627,0.837418,1224,1025,22,467,1.7974
scrypt,4%,0.988481133,0.97935262,0.979342286,0.837418,1224,1025,22,467,1.7974
scrypt,5%,0.990532155,0.985757434,0.985750305,0.837418,1224,1025,22,467,1.7974
redline-smalltalk,1%,0.997590036,0.990747356,0.990742725,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,2%,0.988956298,0.994700973,0.99469832,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,3%,0.995055801,0.997037884,0.997036401,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,4%,0.998085211,0.997612242,0.997611047,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,5%,1.000531802,0.998879926,0.998879366,0.170641,10736,1832,43,5648,0.4005
clj-ds,1%,0.917550928,0.897432608,0.897381273,0.069744,26626,1857,19,15521,0.0714
clj-ds,2%,0.959247449,0.958869157,0.958848571,0.069744,26626,1857,19,15521,0.0714
clj-ds,3%,0.969600157,0.97110698,0.971092519,0.069744,26626,1857,19,15521,0.0714
clj-ds,4%,0.9859775,0.979590751,0.979580536,0.069744,26626,1857,19,15521,0.0714
clj-ds,5%,0.983895386,0.983406587,0.983398282,0.069744,26626,1857,19,15521,0.0714
Liqp,1%,0.969079718,0.953038639,0.953015135,0.454164,17410,7907,234,1876,1.3441
Liqp,2%,0.982498018,0.982993628,0.982985116,0.454164,17410,7907,234,1876,1.3441
Liqp,3%,0.993644407,0.985618364,0.985611166,0.454164,17410,7907,234,1876,1.3441
Liqp,4%,0.979969697,0.98948592,0.989480657,0.454164,17410,7907,234,1876,1.3441
Liqp,5%,0.986698248,0.992301405,0.992297551,0.454164,17410,7907,234,1876,1.3441
la4j,1%,0.979492918,0.969238516,0.96922312,0.549357,13372,7346,758,9096,5.6686
la4j,2%,0.976645853,0.981487584,0.981478318,0.549357,13372,7346,758,9096,5.6686
la4j,3%,0.975613391,0.9886653,0.988659626,0.549357,13372,7346,758,9096,5.6686
la4j,4%,0.999007243,0.991610417,0.991606218,0.549357,13372,7346,758,9096,5.6686
la4j,5%,0.99255703,0.993338045,0.993334711,0.549357,13372,7346,758,9096,5.6686
wsdoc,1%,0.927386616,0.922442409,0.922403591,0.639653,2073,1326,47,1598,2.2672
wsdoc,2%,0.966873418,0.96555619,0.965538951,0.639653,2073,1326,47,1598,2.2672
wsdoc,3%,0.97157503,0.975835015,0.97582292,0.639653,2073,1326,47,1598,2.2672
wsdoc,4%,0.978189874,0.986216377,0.986209479,0.639653,2073,1326,47,1598,2.2672
wsdoc,5%,0.993053467,0.989626092,0.9896209,0.639653,2073,1326,47,1598,2.2672
spring-data-commons,1%,0.952694397,0.968643316,0.968627622,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,2%,0.975567228,0.982006224,0.981997218,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,3%,0.989698573,0.992301963,0.99229811,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,4%,0.99593506,0.991877348,0.991873283,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,5%,0.992759496,0.99463064,0.994627953,0.613786,13666,8388,1035,14722,7.5735
DotCi,1%,0.884470116,0.903265887,0.903217472,0.220227,9245,2036,221,10038,2.3905
DotCi,2%,0.968703421,0.955356735,0.955334391,0.220227,9245,2036,221,10038,2.3905
DotCi,3%,0.955981041,0.96117692,0.961157489,0.220227,9245,2036,221,10038,2.3905
DotCi,4%,0.986303047,0.976686625,0.976674956,0.220227,9245,2036,221,10038,2.3905
DotCi,5%,0.980358131,0.981531517,0.981522274,0.220227,9245,2036,221,10038,2.3905
apache-httpclient,1%,0.962561785,0.97168734,0.971673169,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,2%,0.968594882,0.983863237,0.98385516,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,3%,0.991004167,0.991651013,0.991646834,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,4%,0.996236498,0.992777183,0.992773568,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,5%,0.993307862,0.994043415,0.994040434,0.360584449,5749,2073,869,26604,15.1157
apache-mina,1%,0.967517088,0.96847692,0.968461143,0.293984109,7929,2331,197,26869,2.4846
apache-mina,2%,0.979040258,0.980133453,0.98012351,0.293984109,7929,2331,197,26869,2.4846
apache-mina,3%,0.98962442,0.989767111,0.98976199,0.293984109,7929,2331,197,26869,2.4846
apache-mina,4%,0.993346146,0.992201519,0.992197616,0.293984109,7929,2331,197,26869,2.4846
apache-mina,5%,0.996323613,0.994138983,0.99413605,0.293984109,7929,2331,197,26869,2.4846
assertj-core,1%,0.966468562,0.970371896,0.970357068,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,2%,0.989967498,0.985179613,0.985172196,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,3%,1.002476967,0.989247343,0.989241961,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,4%,0.996513678,0.993226474,0.993223084,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,5%,0.993188728,0.993089413,0.993085954,0.841250606,4126,3471,5737,14128,139.0451
common-collection,1%,0.963047175,0.962807948,0.962789334,0.36469316,7398,2698,13677,23713,184.8743
common-collection,2%,0.979163045,0.980381545,0.980371726,0.36469316,7398,2698,13677,23713,184.8743
common-collection,3%,0.995802007,0.988042535,0.98803655,0.36469316,7398,2698,13677,23713,184.8743
common-collection,4%,0.982853752,0.992861315,0.992857743,0.36469316,7398,2698,13677,23713,184.8743
common-collection,5%,0.993389179,0.992319645,0.992315801,0.36469316,7398,2698,13677,23713,184.8743
common-io,1%,0.968477511,0.965675003,0.965657823,0.765100671,3129,2394,965,8839,30.8405
common-io,2%,0.984408301,0.98210415,0.982095193,0.765100671,3129,2394,965,8839,30.8405
common-io,3%,0.994640438,0.988900736,0.988895181,0.765100671,3129,2394,965,8839,30.8405
common-io,4%,0.997711098,0.991265513,0.991261141,0.765100671,3129,2394,965,8839,30.8405
common-io,5%,0.998275768,0.993217573,0.993214179,0.765100671,3129,2394,965,8839,30.8405
commons-compress,1%,0.973747529,0.981540423,0.981531184,0.634262845,7746,4913,491,17888,6.3388
commons-compress,2%,0.996756762,0.989654994,0.989649817,0.634262845,7746,4913,491,17888,6.3388
commons-compress,3%,0.989596427,0.993502851,0.993499599,0.634262845,7746,4913,491,17888,6.3388
commons-compress,4%,0.994358753,0.995623001,0.99562081,0.634262845,7746,4913,491,17888,6.3388
commons-compress,5%,0.995111969,0.995646724,0.995644546,0.634262845,7746,4913,491,17888,6.3388
JFreeChart,1%,0.992377959,0.992472562,0.992468795,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,2%,0.994794599,0.995274626,0.995272261,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,3%,1.000924676,0.997346684,0.997345356,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,4%,0.999716266,0.998129704,0.998128768,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,5%,0.996955647,0.998383046,0.998382237,0.323307195,34942,11297,2256,98334,6.4564
jgrapht,1%,0.967537451,0.958761377,0.958740737,0.561187545,2762,1550,152,12511,5.5033
jgrapht,2%,0.979220186,0.982112069,0.982103116,0.561187545,2762,1550,152,12511,5.5033
jgrapht,3%,0.988819188,0.986761708,0.986755082,0.561187545,2762,1550,152,12511,5.5033
jgrapht,4%,0.981661891,0.988599577,0.988593871,0.561187545,2762,1550,152,12511,5.5033
jgrapht,5%,0.992427449,0.99246622,0.992462449,0.561187545,2762,1550,152,12511,5.5033
PMD-core,1%,0.963867126,0.963708826,0.963690662,0.308760378,20958,6471,458,20958,2.1853
PMD-core,2%,0.973152905,0.979035251,0.979024758,0.308760378,20958,6471,458,20958,2.1853
PMD-core,3%,0.983339918,0.9855649,0.985557675,0.308760378,20958,6471,458,20958,2.1853
PMD-core,4%,0.986631882,0.98814186,0.988135925,0.308760378,20958,6471,458,20958,2.1853
PMD-core,5%,0.995571629,0.99248877,0.99248501,0.308760378,20958,6471,458,20958,2.1853
xstream,1%,0.935487857,0.958542577,0.958521827,0.568705927,5247,2984,1618,19111,30.8367
xstream,2%,0.966708677,0.976231715,0.976219819,0.568705927,5247,2984,1618,19111,30.8367
xstream,3%,0.995178008,0.986518149,0.986511401,0.568705927,5247,2984,1618,19111,30.8367
xstream,4%,0.986240398,0.990370687,0.990365868,0.568705927,5247,2984,1618,19111,30.8367
xstream,5%,0.988325404,0.991717924,0.991713779,0.568705927,5247,2984,1618,19111,30.8367
