subject,proportion,k,rSquare,adjRSquare,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
cors-filter,3%,0.837592651,0.830970433,0.830885834,0.829412,510,423,72,588,14.1176
cors-filter,4%,0.823510693,0.869165033,0.86909955,0.829412,510,423,72,588,14.1176
cors-filter,5%,0.884924844,0.888525654,0.888469861,0.829412,510,423,72,588,14.1176
flip-tables,1%,0.566706308,0.598840775,0.598639995,0.875,336,294,21,170,6.25
flip-tables,2%,0.568917602,0.633317302,0.633133778,0.875,336,294,21,170,6.25
flip-tables,3%,0.726085866,0.764080935,0.763962858,0.875,336,294,21,170,6.25
flip-tables,4%,0.769665506,0.783596564,0.783488254,0.875,336,294,21,170,6.25
flip-tables,5%,0.849155372,0.827208109,0.827121626,0.875,336,294,21,170,6.25
redline,1%,0.908482737,0.908283889,0.908237985,0.340198,4759,1619,41,3809,0.8615
redline,2%,0.945103835,0.955828944,0.955806836,0.340198,4759,1619,41,3809,0.8615
redline,3%,0.953529779,0.964070323,0.964052341,0.340198,4759,1619,41,3809,0.8615
redline,4%,0.973201381,0.975983515,0.975971494,0.340198,4759,1619,41,3809,0.8615
redline,5%,0.996138077,0.982398942,0.982390132,0.340198,4759,1619,41,3809,0.8615
exp4j,1%,0.771657881,0.717888925,0.717747728,0.870761,1563,1361,284,1086,18.1702
exp4j,2%,0.759221834,0.801862247,0.801763079,0.870761,1563,1361,284,1086,18.1702
exp4j,3%,0.905357079,0.879268508,0.879208082,0.870761,1563,1361,284,1086,18.1702
exp4j,4%,0.927040864,0.905726107,0.905678923,0.870761,1563,1361,284,1086,18.1702
exp4j,5%,0.962328282,0.923436919,0.923398599,0.870761,1563,1361,284,1086,18.1702
Confucius,1%,0.659247506,0.653085544,0.652911913,0.927419,620,575,84,503,13.5484
Confucius,2%,0.804272167,0.793300226,0.793196773,0.927419,620,575,84,503,13.5484
Confucius,3%,0.833378966,0.876759575,0.876697893,0.927419,620,575,84,503,13.5484
Confucius,4%,0.893603051,0.888538179,0.888482393,0.927419,620,575,84,503,13.5484
Confucius,5%,0.920125075,0.909677413,0.909632207,0.927419,620,575,84,503,13.5484
geojson-jackson,1%,0.625175064,0.611361099,0.611166585,0.419805,717,301,44,654,6.1367
geojson-jackson,2%,0.727841651,0.725274781,0.725137281,0.419805,717,301,44,654,6.1367
geojson-jackson,3%,0.840990411,0.797550929,0.797449603,0.419805,717,301,44,654,6.1367
geojson-jackson,4%,0.857329919,0.832331778,0.83224786,0.419805,717,301,44,654,6.1367
geojson-jackson,5%,0.855450087,0.868956693,0.868891106,0.419805,717,301,44,654,6.1367
visualee,1%,0.799960498,0.802813121,0.802714429,0.468421,1900,890,76,1645,4
visualee,2%,0.874159976,0.889090001,0.889034491,0.468421,1900,890,76,1645,4
visualee,3%,0.918059987,0.925360591,0.925323234,0.468421,1900,890,76,1645,4
visualee,4%,0.925188979,0.945691997,0.945664816,0.468421,1900,890,76,1645,4
visualee,5%,0.982046433,0.95889869,0.958878119,0.468421,1900,890,76,1645,4
GenericTree,1%,0.663137723,0.666916048,0.666749339,0.811321,265,215,49,234,18.4906
GenericTree,2%,0.768911328,0.785138924,0.785031386,0.811321,265,215,49,234,18.4906
GenericTree,3%,0.813215474,0.820794477,0.820704784,0.811321,265,215,49,234,18.4906
GenericTree,4%,0.853200392,0.856028298,0.85595624,0.811321,265,215,49,234,18.4906
GenericTree,5%,0.87583579,0.876741557,0.876679866,0.811321,265,215,49,234,18.4906
jackson-datatype-guava,1%,0.804497722,0.779510657,0.779400302,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,2%,0.878246901,0.881634777,0.881575536,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,3%,0.923679092,0.917143243,0.917101773,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,4%,0.940576554,0.940889029,0.940859444,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,5%,0.960256841,0.952981337,0.952957804,0.51682,1635,845,73,2217,4.4648
evernote-sdk-java,1%,0.518386186,0.524315333,0.524077253,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,2%,0.706163817,0.681756248,0.681596967,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,3%,0.762045845,0.781359436,0.781250006,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,4%,0.847959015,0.862775052,0.862706371,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,5%,0.815248036,0.846041564,0.845964508,0.002102,74208,156,14,2370,0.0189
urlbuilder,1%,0.864943092,0.891396146,0.891341789,0.786653,989,778,48,690,4.8534
urlbuilder,2%,0.960550505,0.935084575,0.935052085,0.786653,989,778,48,690,4.8534
urlbuilder,3%,0.971213691,0.965853089,0.965835999,0.786653,989,778,48,690,4.8534
