subject,y,x1,x2,x3,x4,x5,x6,x7,lnx1,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,neginvx1,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7
exp4j,0.717888925,0.01 ,0.870761,1563,1361,284,1086,18.1702,-4.605170186,-0.138387737,7.35436233,7.215975003,5.648974238,6.9902565,2.89978289,-100,-1.148420749,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035167
Confucius,0.653085544,0.01 ,0.927419,620,575,84,503,13.5484,-4.605170186,-0.07534982,6.429719478,6.354370041,4.430816799,6.22059017,2.606268459,-100,-1.078261282,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809454
geojson-jackson,0.611361099,0.01 ,0.419805,717,301,44,654,6.1367,-4.605170186,-0.867964961,6.575075841,5.707110265,3.784189634,6.483107351,1.814287138,-100,-2.382058337,-0.0013947,-0.003322259,-0.022727273,-0.001529052,-0.162954031
visualee,0.802813121,0.01 ,0.468421,1900,890,76,1645,4,-4.605170186,-0.758387815,7.549609165,6.791221463,4.33073334,7.405495663,1.386294361,-100,-2.134831701,-0.000526316,-0.001123596,-0.013157895,-0.000607903,-0.25
GenericTree,0.666916048,0.01 ,0.811321,265,215,49,234,18.4906,-4.605170186,-0.209091496,5.579729826,5.370638028,3.891820298,5.455321115,2.917262495,-100,-1.232557767,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081533
jackson-datatype-guava,0.779510657,0.01 ,0.51682,1635,845,73,2217,4.4648,-4.605170186,-0.660060628,7.399398083,6.739336627,4.290459441,7.70391021,1.49622442,-100,-1.93490964,-0.000611621,-0.001183432,-0.01369863,-0.00045106,-0.223974198
evernote-sdk-java,0.524315333,0.01 ,0.002102,74208,156,14,2370,0.0189,-4.605170186,-6.164866007,11.21462724,5.049856007,2.63905733,7.770645234,-3.968593357,-100,-475.737393,-1.34756E-05,-0.006410256,-0.071428571,-0.000421941,-52.91005291
urlbuilder,0.891396146,0.01 ,0.786653,989,778,48,690,4.8534,-4.605170186,-0.239968043,6.896694332,6.656726524,3.871201011,6.536691598,1.57967949,-100,-1.271208525,-0.001011122,-0.001285347,-0.020833333,-0.001449275,-0.206041126
skype-java-api,0.776253548,0.01 ,0.134994,6504,878,43,6356,0.6611,-4.605170186,-2.002524946,8.780172651,6.777646594,3.761200116,8.757154528,-0.413850165,-100,-7.40773664,-0.000153752,-0.001138952,-0.023255814,-0.000157332,-1.512630464
HTTP-Proxy-Servlet,0.572555716,0.01 ,0.620579,622,386,26,493,4.1801,-4.605170186,-0.477102366,6.432940093,5.955837369,3.258096538,6.200509174,1.43033517,-100,-1.611398388,-0.001607717,-0.002590674,-0.038461538,-0.002028398,-0.239228727
PauselessHashMap,0.744441679,0.01 ,0.512845,1051,539,1550,958,147.4786,-4.605170186,-0.667781624,6.957497371,6.289715571,7.34601021,6.864847778,4.993683081,-100,-1.949906892,-0.000951475,-0.001855288,-0.000645161,-0.001043841,-0.006780645
ews-java-api,0.972221729,0.01 ,0.058379,31501,1839,99,45313,0.3143,-4.605170186,-2.840799043,10.35777457,7.516977225,4.59511985,10.72134925,-1.157407335,-100,-17.12944723,-3.1745E-05,-0.000543774,-0.01010101,-2.20687E-05,-3.18167356
IClojure,0.356898017,0.01 ,0.085145,1104,94,12,962,1.087,-4.605170186,-2.463399594,7.006695227,4.543294782,2.48490665,6.869014451,0.083421608,-100,-11.74467086,-0.000905797,-0.010638298,-0.083333333,-0.001039501,-0.919963201
RestFixture,0.880858811,0.01 ,0.682206,3282,2239,268,3106,8.1658,-4.605170186,-0.382423614,8.096208272,7.713784617,5.590986981,8.041091004,2.099954701,-100,-1.465832901,-0.000304692,-0.000446628,-0.003731343,-0.000321958,-0.122461976
jInstagram,0.500833635,0.01 ,0.07699,2299,177,74,3476,3.2188,-4.605170186,-2.564079736,7.740229525,5.176149733,4.304065093,8.153637486,1.169008619,-100,-12.98869983,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310674786
linq4j,0.949046857,0.01 ,0.375483,13191,4953,221,14307,1.6754,-4.605170186,-0.979542082,9.487290058,8.507748733,5.398162702,9.568504207,0.516051943,-100,-2.663236418,-7.58093E-05,-0.000201898,-0.004524887,-6.98959E-05,-0.596872389
javapoet,0.889407221,0.01 ,0.771391,3775,2912,152,2454,4.0265,-4.605170186,-0.2595599,8.236155662,7.976595409,5.023880521,7.805474625,1.392897512,-100,-1.296359434,-0.000264901,-0.000343407,-0.006578947,-0.000407498,-0.24835465
statsd-jvm-profiler,0.578098691,0.01 ,0.370258,659,244,33,691,5.0076,-4.605170186,-0.993555219,6.490723535,5.497168225,3.496507561,6.538139824,1.610956758,-100,-2.700819429,-0.001517451,-0.004098361,-0.03030303,-0.001447178,-0.199696461
scribe-java,0.73281371,0.01 ,0.351901,1867,657,99,2778,5.3026,-4.605170186,-1.044405393,7.532088144,6.487684018,4.59511985,7.929486523,1.668197266,-100,-2.841708321,-0.000535619,-0.00152207,-0.01010101,-0.000359971,-0.188586731
expiringmap,0.916925097,0.01 ,0.560819,781,438,26,802,3.3291,-4.605170186,-0.578357064,6.66057515,6.08221891,3.258096538,6.687108608,1.202701997,-100,-1.783106492,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300381484
multi-thread-context,1,0.01 ,0.034884,258,9,31,580,12.0155,-4.605170186,-3.355727008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197483,-100,-28.66643734,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225833
