subject,y,x1,x2,x3,x4,x5,x6,x7,x8,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,lnx8,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7,neginvx8
RestFixture,0.880858811,0.01,0.682206,3282,2239,268,3106,8.1658,133.9715,-0.382423614,8.096208272,7.713784617,5.590986981,8.041091004,2.099954701,4.897627091,-1.465832901,-0.000304692,-0.000446628,-0.003731343,-0.000321958,-0.122461976,-0.007464274
jInstagram,0.500833635,0.01,0.07699,2299,177,74,3476,3.2188,37.069,-2.564079736,7.740229525,5.176149733,4.304065093,8.153637486,1.169008619,3.612781041,-12.98869983,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310674786,-0.026976719
linq4j,0.949046857,0.01,0.375483,13191,4953,221,14307,1.6754,111.672,-0.979542082,9.487290058,8.507748733,5.398162702,9.568504207,0.516051943,4.715566003,-2.663236418,-7.58E-05,-0.000201898,-0.004524887,-6.99E-05,-0.596872389,-0.008954796
javapoet,0.889407221,0.01,0.771391,3775,2912,152,2454,4.0265,77.9675,-0.2595599,8.236155662,7.976595409,5.023880521,7.805474625,1.392897512,4.356292073,-1.296359434,-0.000264901,-0.000343407,-0.006578947,-0.000407498,-0.24835465,-0.012825857
statsd-jvm-profiler,0.578098691,0.01,0.370258,659,244,33,691,5.0076,17.075,-0.993555219,6.490723535,5.497168225,3.496507561,6.538139824,1.610956758,2.837615405,-2.700819429,-0.001517451,-0.004098361,-0.03030303,-0.001447178,-0.199696461,-0.058565154
scribe-java,0.73281371,0.01,0.351901,1867,657,99,2778,5.3026,50.274,-1.044405393,7.532088144,6.487684018,4.59511985,7.929486523,1.668197266,3.917488045,-2.841708321,-0.000535619,-0.00152207,-0.01010101,-0.000359971,-0.188586731,-0.019890997
expiringmap,0.916925097,0.01,0.560819,781,438,26,802,3.3291,13.2755,-0.578357064,6.66057515,6.08221891,3.258096538,6.687108608,1.202701997,2.585920231,-1.783106492,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300381484,-0.07532673
multi-thread-context,1,0.01,0.034884,258,9,31,580,12.0155,16.1625,-3.355727008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197483,2.782693744,-28.66643734,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225833,-0.061871616
webbit,0.849631711,0.01,0.330933,3750,1241,131,4914,3.4933,66.2315,-1.105839341,8.229511119,7.123672785,4.875197323,8.499843553,1.250846848,4.193156181,-3.021759692,-0.000266667,-0.000805802,-0.007633588,-0.0002035,-0.286262273,-0.015098556
jenkins-ansicolor-plugin,0.517646288,0.01,0.413858,534,221,26,500,4.8689,13.5575,-0.882232359,6.280395839,5.398162702,3.258096538,6.214608098,1.582868039,2.6069399,-2.416287712,-0.001872659,-0.004524887,-0.038461538,-0.002,-0.2053852,-0.073759911
raml-java-parser,0.909039347,0.01,0.708968,6044,4285,190,8217,3.1436,96.7485,-0.343944887,8.706821323,8.362875831,5.247024072,9.013960458,1.14536864,4.572114828,-1.410500897,-0.000165453,-0.000233372,-0.005263158,-0.000121699,-0.318106629,-0.010336078
geohash-java,0.85804685,0.01,0.685119,1680,1151,56,920,3.3333,28.3055,-0.378162733,7.426549072,7.048386409,4.025351691,6.82437367,1.203962804,3.343056132,-1.459600449,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.300003,-0.035328823
compress,0.933586231,0.01,0.474887,5734,2723,43,4387,0.7499,22.08,-0.744678398,8.654168646,7.909489493,3.761200116,8.386400901,-0.287815415,3.094672221,-2.105764108,-0.000174398,-0.000367242,-0.023255814,-0.000227946,-1.333511135,-0.045289855
spatial4j,0.947484023,0.01,0.498435,7666,3821,252,5243,3.2872,124.948,-0.696282089,8.944550246,8.248267447,5.529429088,8.564649133,1.190036139,4.827897651,-2.006279655,-0.000130446,-0.000261712,-0.003968254,-0.00019073,-0.30421027,-0.008003329
glacieruploader,0.594023202,0.01,0.305825,824,252,22,987,2.6699,11.5245,-1.184742236,6.71417053,5.529429088,3.091042453,6.894670039,0.982041019,2.444475204,-3.269843865,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545863,-0.08677166
zt-exec,0.563089853,0.01,0.315512,1328,419,71,1670,5.3464,36.202,-1.153558563,7.19142933,6.03787092,4.262679877,7.420578905,1.676423437,3.589114366,-3.169451558,-0.000753012,-0.002386635,-0.014084507,-0.000598802,-0.187041748,-0.027622783
rome,0.933808874,0.01,0.456866,10734,4904,475,11704,4.4252,236.5055,-0.783365148,9.281171553,8.497806478,6.163314804,9.367685943,1.487315475,5.465971463,-2.188825608,-9.32E-05,-0.000203915,-0.002105263,-8.54E-05,-0.225978487,-0.004228231
webprotege,0.95923992,0.01,0.091384,61455,5616,1659,77573,2.6995,841.2865,-2.392684871,11.02606048,8.633374946,7.41397029,11.25897471,0.993066571,6.734932268,-10.94283463,-1.63E-05,-0.000178063,-0.000602773,-1.29E-05,-0.37043897,-0.001188656
xsoup,0.821939959,0.01,0.529895,2191,1161,27,2031,1.2323,14.0685,-0.635076405,7.69211334,7.057036982,3.295836866,7.616283562,0.208882342,2.643938256,-1.887166325,-0.000456413,-0.000861326,-0.037037037,-0.000492368,-0.811490708,-0.071080783
protoparser,0.916906345,0.01,0.720659,4550,3279,166,2115,3.6484,84.6935,-0.327589208,8.422882512,8.095293777,5.111987788,7.656810091,1.294288715,4.439038857,-1.387618832,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274092753,-0.011807282
jitescript,0.446180975,0.01,0.219973,1482,326,14,1397,0.9447,7.6085,-1.514250467,7.301147806,5.786897381,2.63905733,7.242082359,-0.056887862,2.029266043,-4.546012465,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058537102,-0.131431951
gelfj,0.676464234,0.01,0.34856,1007,351,28,1120,2.7805,14.4725,-1.053944897,6.914730893,5.860786223,3.33220451,7.021083964,1.022630768,2.672250297,-2.868946523,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359647545,-0.069096562
parsii,0.81230863,0.01,0.509169,2563,1305,16,1713,0.6243,8.6625,-0.674975294,7.848933726,7.17395832,2.772588722,7.446001498,-0.471124257,2.159003365,-1.963984453,-0.000390168,-0.000766284,-0.0625,-0.000583771,-1.601794009,-0.115440115
low-gc-membuffers,0.861215735,0.01,0.512042,3654,1871,51,3183,1.3957,25.9775,-0.669348626,8.203577737,7.534228326,3.931825633,8.065579427,0.333396082,3.257230779,-1.952964796,-0.000273673,-0.000534474,-0.019607843,-0.000314169,-0.716486351,-0.038494851
gdx-artemis,0.825563671,0.01,0.570581,1686,962,35,1951,2.0759,17.7615,-0.561100139,7.430114139,6.869014451,3.555348061,7.576097341,0.730394795,2.877033193,-1.752599543,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481718773,-0.056301551
java-jwt,0.588505069,0.01,0.787281,456,359,54,422,11.8421,27.574,-0.239170042,6.12249281,5.883322388,3.988984047,6.045005314,2.471660979,3.3168733,-1.270194505,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444482,-0.036266048
hashids-java,0.566436475,0.01,0.631776,535,338,11,258,2.0561,6.0805,-0.459220378,6.282266747,5.823045895,2.397895273,5.552959585,0.720810985,1.805086929,-1.582839487,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486357667,-0.16446016
stateless4j,0.590581159,0.01,0.561782,696,391,61,864,8.7644,31.0385,-0.576641405,6.54534966,5.96870756,4.110873864,6.761572769,2.170698062,3.435228369,-1.780049913,-0.001436782,-0.002557545,-0.016393443,-0.001157407,-0.114097942,-0.032218052
jumblr,0.786521676,0.01,0.516047,1184,611,103,1494,8.6993,52.2285,-0.661557432,7.076653815,6.415096959,4.634728988,7.309212366,2.163242563,3.955628323,-1.93780799,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951778,-0.019146635
kryo-serializers,0.842869887,0.01,0.627602,1297,814,154,1564,11.8736,78.148,-0.465849071,7.167809184,6.701960366,5.036952602,7.355001921,2.474317448,4.358604465,-1.593366497,-0.00077101,-0.001228501,-0.006493506,-0.000639386,-0.084220455,-0.012796233
kafka-spout,0.633294146,0.01,0.820755,424,348,51,477,12.0283,26.1465,-0.197530631,6.049733455,5.85220248,3.931825633,6.167516491,2.487262207,3.263715338,-1.218390384,-0.002358491,-0.002873563,-0.019607843,-0.002096436,-0.083137268,-0.038246037
computoser,0.878438078,0.01,0.049949,14615,730,12,11626,0.0821,6.479,-2.996752794,9.589803678,6.593044534,2.48490665,9.360999248,-2.499817263,1.868566177,-20.02042083,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.18026797,-0.154344806
jsemver,0.831881729,0.01,0.833623,1725,1438,202,1441,11.7101,102.244,-0.181974017,7.452982329,7.271008538,5.308267697,7.273092596,2.460451717,4.627362113,-1.199583025,-0.00057971,-0.00069541,-0.004950495,-0.000693963,-0.085396367,-0.009780525
ashot,0.73484165,0.01,0.574189,1294,743,42,1247,3.2457,21.059,-0.554796669,7.165493475,6.610696045,3.737669618,7.128495946,1.177331043,3.047328022,-1.741586829,-0.000772798,-0.001345895,-0.023809524,-0.000801925,-0.308099948,-0.047485636
LastCalc,0.904951909,0.01,0.391409,6635,2597,34,4594,0.5124,17.3495,-0.93800223,8.800113947,7.862112212,3.526360525,8.432506383,-0.668649709,2.853563688,-2.554872269,-0.000150716,-0.00038506,-0.029411765,-0.000217675,-1.951600312,-0.057638549
JAdventure,0.803860917,0.01,0.144959,5098,739,35,3785,0.6865,18.2385,-1.931304335,8.536603585,6.605297921,3.555348061,8.238801166,-0.376149054,2.903534744,-6.898502335,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456664239,-0.05482907
invokebinder,0.755964908,0.01,0.44779,1561,699,107,1623,6.8546,54.1,-0.803430906,7.353081921,6.549650742,4.672828834,7.392031568,1.92491996,3.990834186,-2.233189665,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.145887433,-0.018484288
mimecraft,0.701017374,0.01,0.784512,297,233,14,394,4.7138,7.433,-0.242693411,5.693732139,5.451038454,2.63905733,5.976350909,1.550494377,2.005929546,-1.274677761,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212143069,-0.134535181
pollexor,0.78122502,0.01,0.848929,887,753,58,592,6.5389,29.9885,-0.163779724,6.787844982,6.624065228,4.060443011,6.383506635,1.877768956,3.400813975,-1.177954811,-0.001127396,-0.001328021,-0.017241379,-0.001689189,-0.152930921,-0.033346116
nar-maven-plugin,0.908399854,0.01,0.09281,27928,2592,465,23665,1.665,232.2095,-2.377200886,10.23738505,7.860185057,6.142037406,10.07175244,0.509825123,5.447639981,-10.774701,-3.58E-05,-0.000385802,-0.002150538,-4.23E-05,-0.600600601,-0.004306456
xembly,0.796706165,0.01,0.38895,2715,1056,57,1202,2.0994,29.0075,-0.944304478,7.906547232,6.962243464,4.043051268,7.091742115,0.74165159,3.367554417,-2.571024553,-0.000368324,-0.00094697,-0.01754386,-0.000831947,-0.476326569,-0.034473843
dropwizard-guice,0.539669484,0.01,0.509934,302,154,15,381,4.9669,7.92,-0.673473973,5.710427017,5.036952602,2.708050201,5.942799375,1.602795903,2.069391206,-1.961038095,-0.003311258,-0.006493506,-0.066666667,-0.002624672,-0.201332823,-0.126262626
jackson-datatype-joda,0.768011606,0.01,0.556931,1212,675,73,1543,6.0231,37.184,-0.585313925,7.100027167,6.514712691,4.290459441,7.341483852,1.795602077,3.615878561,-1.795554566,-0.000825083,-0.001481481,-0.01369863,-0.000648088,-0.166027461,-0.026893287
