subject,y,x1,x2,x3,x4,x5,x6,x7,lnx1,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,neginvx1,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7
patricia-trie,0.789266764,0.01 ,0.441109,3031,1337,17,2782,0.5609,-4.605170186,-0.818463269,8.016647877,7.198183577,2.833213344,7.930925372,-0.578212642,-100,-2.267013369,-0.000329924,-0.000747943,-0.058823529,-0.000359454,-1.782848993
cucumber-reporting,0.755630611,0.01 ,0.653787,2614,1709,124,2245,4.7437,-4.605170186,-0.424973669,7.868636894,7.443663683,4.820281566,7.7164608,1.556817422,-100,-1.529550144,-0.000382555,-0.000585138,-0.008064516,-0.000445434,-0.210805911
efflux,0.759012688,0.01 ,0.419014,2840,1190,41,3529,1.4437,-4.605170186,-0.869850947,7.951559331,7.081708586,3.713572067,8.168769824,0.367209263,-100,-2.386555103,-0.000352113,-0.000840336,-0.024390244,-0.000283366,-0.692664681
jackson-module-afterburner,0.726235254,0.01 ,0.545914,3365,1837,118,3343,3.5067,-4.605170186,-0.605293825,8.121183242,7.515889085,4.770684624,8.114623886,1.254675424,-100,-1.831790355,-0.000297177,-0.000544366,-0.008474576,-0.000299133,-0.285168392
greplin-lucene-utils,0.658834618,0.01 ,0.151653,2631,399,14,3476,0.5321,-4.605170186,-1.886160263,7.875119281,5.988961417,2.63905733,8.153637486,-0.630923837,-100,-6.594000778,-0.000380084,-0.002506266,-0.071428571,-0.000287687,-1.879345988
greplin-bloom-filter,0.546661283,0.01 ,0.578313,830,480,16,674,1.9277,-4.605170186,-0.547640034,6.721425701,6.173786104,2.772588722,6.513230111,0.656327582,-100,-1.729167423,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.518752918
aho-corasick,0.626704971,0.01 ,0.858621,580,498,31,499,5.3448,-4.605170186,-0.152427665,6.363028104,6.210600077,3.433987204,6.212606096,1.676124126,-100,-1.164658214,-0.001724138,-0.002008032,-0.032258065,-0.002004008,-0.18709774
cors-filter,0.571318825,0.01 ,0.829412,510,423,72,588,14.1176,-4.605170186,-0.187038263,6.234410726,6.047372179,4.276666119,6.376726948,2.647422246,-100,-1.205673417,-0.001960784,-0.002364066,-0.013888889,-0.00170068,-0.070833569
flip-tables,0.614327895,0.01 ,0.875,336,294,21,170,6.25,-4.605170186,-0.133531393,5.81711116,5.683579767,3.044522438,5.135798437,1.832581464,-100,-1.142857143,-0.00297619,-0.003401361,-0.047619048,-0.005882353,-0.16
redline,0.790050882,0.01 ,0.340198,4759,1619,41,3809,0.8615,-4.605170186,-1.078227478,8.467792841,7.389563954,3.713572067,8.245121966,-0.149080223,-100,-2.939464665,-0.000210128,-0.000617665,-0.024390244,-0.000262536,-1.160766106
exp4j,0.650140919,0.01 ,0.870761,1563,1361,284,1086,18.1702,-4.605170186,-0.138387737,7.35436233,7.215975003,5.648974238,6.9902565,2.89978289,-100,-1.148420749,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035167
Confucius,0.640434483,0.01 ,0.927419,620,575,84,503,13.5484,-4.605170186,-0.07534982,6.429719478,6.354370041,4.430816799,6.22059017,2.606268459,-100,-1.078261282,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809454
geojson-jackson,0.617995932,0.01 ,0.419805,717,301,44,654,6.1367,-4.605170186,-0.867964961,6.575075841,5.707110265,3.784189634,6.483107351,1.814287138,-100,-2.382058337,-0.0013947,-0.003322259,-0.022727273,-0.001529052,-0.162954031
visualee,0.731621924,0.01 ,0.468421,1900,890,76,1645,4,-4.605170186,-0.758387815,7.549609165,6.791221463,4.33073334,7.405495663,1.386294361,-100,-2.134831701,-0.000526316,-0.001123596,-0.013157895,-0.000607903,-0.25
GenericTree,0.673657501,0.01 ,0.811321,265,215,49,234,18.4906,-4.605170186,-0.209091496,5.579729826,5.370638028,3.891820298,5.455321115,2.917262495,-100,-1.232557767,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081533
jackson-datatype-guava,0.71276735,0.01 ,0.51682,1635,845,73,2217,4.4648,-4.605170186,-0.660060628,7.399398083,6.739336627,4.290459441,7.70391021,1.49622442,-100,-1.93490964,-0.000611621,-0.001183432,-0.01369863,-0.00045106,-0.223974198
evernote-sdk-java,0.598511848,0.01 ,0.002102,74208,156,14,2370,0.0189,-4.605170186,-6.164866007,11.21462724,5.049856007,2.63905733,7.770645234,-3.968593357,-100,-475.737393,-1.34756E-05,-0.006410256,-0.071428571,-0.000421941,-52.91005291
