subject,rSquare,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
urlbuilder,0.968527269,4%,0.786653,989,778,48,690,4.8534
urlbuilder,0.977568121,5%,0.786653,989,778,48,690,4.8534
skype-java-api,0.776253548,1%,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.8980487,2%,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.927651193,3%,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.945793871,4%,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.952121158,5%,0.134994,6504,878,43,6356,0.6611
HTTP-Proxy-Servlet,0.572555716,1%,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,0.756470611,2%,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,0.80852847,3%,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,0.829798184,4%,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,0.876631097,5%,0.620579,622,386,26,493,4.1801
PauselessHashMap,0.744441679,1%,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.842300551,2%,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.897764706,3%,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.910348833,4%,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.918141499,5%,0.512845,1051,539,1550,958,147.4786
ews-java-api,0.972221729,1%,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.98327799,2%,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.985433659,3%,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.991834496,4%,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.992973551,5%,0.058379,31501,1839,99,45313,0.3143
IClojure,0.356898017,1%,0.085145,1104,94,12,962,1.087
IClojure,0.523700247,2%,0.085145,1104,94,12,962,1.087
IClojure,0.637314263,3%,0.085145,1104,94,12,962,1.087
IClojure,0.711872982,4%,0.085145,1104,94,12,962,1.087
IClojure,0.765328728,5%,0.085145,1104,94,12,962,1.087
RestFixture,0.880858811,1%,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.943663438,2%,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.968322644,3%,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.971373032,4%,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.977414472,5%,0.682206,3282,2239,268,3106,8.1658
jInstagram,0.500833635,1%,0.07699,2299,177,74,3476,3.2188
jInstagram,0.620610518,2%,0.07699,2299,177,74,3476,3.2188
jInstagram,0.76766799,3%,0.07699,2299,177,74,3476,3.2188
jInstagram,0.825511112,4%,0.07699,2299,177,74,3476,3.2188
jInstagram,0.816319753,5%,0.07699,2299,177,74,3476,3.2188
linq4j,0.949046857,1%,0.375483,13191,4953,221,14307,1.6754
linq4j,0.973395416,2%,0.375483,13191,4953,221,14307,1.6754
linq4j,0.98545161,3%,0.375483,13191,4953,221,14307,1.6754
linq4j,0.986868484,4%,0.375483,13191,4953,221,14307,1.6754
linq4j,0.989317816,5%,0.375483,13191,4953,221,14307,1.6754
javapoet,0.889407221,1%,0.771391,3775,2912,152,2454,4.0265
javapoet,0.951007318,2%,0.771391,3775,2912,152,2454,4.0265
javapoet,0.959698749,3%,0.771391,3775,2912,152,2454,4.0265
javapoet,0.970633233,4%,0.771391,3775,2912,152,2454,4.0265
javapoet,0.977966783,5%,0.771391,3775,2912,152,2454,4.0265
statsd-jvm-profiler,0.578098691,1%,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.684459629,2%,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.796959928,3%,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.817236298,4%,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,0.841926772,5%,0.370258,659,244,33,691,5.0076
scribe-java,0.73281371,1%,0.351901,1867,657,99,2778,5.3026
scribe-java,0.868011777,2%,0.351901,1867,657,99,2778,5.3026
scribe-java,0.910144689,3%,0.351901,1867,657,99,2778,5.3026
scribe-java,0.913400247,4%,0.351901,1867,657,99,2778,5.3026
scribe-java,0.927484134,5%,0.351901,1867,657,99,2778,5.3026
expiringmap,0.916925097,1%,0.560819,781,438,26,802,3.3291
expiringmap,0.944210768,2%,0.560819,781,438,26,802,3.3291
expiringmap,0.962828125,3%,0.560819,781,438,26,802,3.3291
expiringmap,0.971860721,4%,0.560819,781,438,26,802,3.3291
expiringmap,0.985038842,5%,0.560819,781,438,26,802,3.3291
multi-thread-context,1,1%,0.034884,258,9,31,580,12.0155
multi-thread-context,1,2%,0.034884,258,9,31,580,12.0155
multi-thread-context,1,3%,0.034884,258,9,31,580,12.0155
multi-thread-context,1,4%,0.034884,258,9,31,580,12.0155
multi-thread-context,1,5%,0.034884,258,9,31,580,12.0155
webbit,0.849631711,1%,0.330933,3750,1241,131,4914,3.4933
webbit,0.890511983,2%,0.330933,3750,1241,131,4914,3.4933
webbit,0.933131094,3%,0.330933,3750,1241,131,4914,3.4933
