subject,kendallCorrelation,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
obd-java-api,0.764533758,0.04 ,0.434673,796,346,42,1111,5.2764
obd-java-api,0.788785541,0.05 ,0.434673,796,346,42,1111,5.2764
sonar-objective-c,0.682485019,0.01 ,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.749414148,0.02 ,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.755229258,0.03 ,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.793017811,0.04 ,0.256795,1067,274,31,1441,2.9053
sonar-objective-c,0.809485843,0.05 ,0.256795,1067,274,31,1441,2.9053
spring-retry,0.743612741,0.01 ,0.611063,2296,1403,185,2716,8.0575
spring-retry,0.819174373,0.02 ,0.611063,2296,1403,185,2716,8.0575
spring-retry,0.849105407,0.03 ,0.611063,2296,1403,185,2716,8.0575
spring-retry,0.858915529,0.04 ,0.611063,2296,1403,185,2716,8.0575
spring-retry,0.882256075,0.05 ,0.611063,2296,1403,185,2716,8.0575
jprotobuf,0.724176291,0.01 ,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.803974701,0.02 ,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.80228587,0.03 ,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.835624112,0.04 ,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.864672212,0.05 ,0.337189,4496,1516,49,3015,1.0899
jmxutils,0.729507297,0.01 ,0.564184,1893,1068,754,2284,39.831
jmxutils,0.807881333,0.02 ,0.564184,1893,1068,754,2284,39.831
jmxutils,0.840094624,0.03 ,0.564184,1893,1068,754,2284,39.831
jmxutils,0.843550071,0.04 ,0.564184,1893,1068,754,2284,39.831
jmxutils,0.857925829,0.05 ,0.564184,1893,1068,754,2284,39.831
JActor,0.541647807,0.01 ,0.095861,1377,132,60,2413,4.3573
JActor,0.637555903,0.02 ,0.095861,1377,132,60,2413,4.3573
JActor,0.649878706,0.03 ,0.095861,1377,132,60,2413,4.3573
JActor,0.65176556,0.04 ,0.095861,1377,132,60,2413,4.3573
JActor,0.691068598,0.05 ,0.095861,1377,132,60,2413,4.3573
brickhouse,0.722081906,0.01 ,0.049623,9411,467,30,8831,0.3188
brickhouse,0.800190893,0.02 ,0.049623,9411,467,30,8831,0.3188
brickhouse,0.815336534,0.03 ,0.049623,9411,467,30,8831,0.3188
brickhouse,0.857327984,0.04 ,0.049623,9411,467,30,8831,0.3188
brickhouse,0.841901792,0.05 ,0.049623,9411,467,30,8831,0.3188
JavaVerbalExpressions,0.589693694,0.01 ,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,0.697462553,0.02 ,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,0.718402178,0.03 ,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,0.766292786,0.04 ,0.786967,399,314,69,326,17.2932
JavaVerbalExpressions,0.788266777,0.05 ,0.786967,399,314,69,326,17.2932
metrics-statsd,0.690018553,0.01 ,0.757353,408,309,11,310,2.6961
metrics-statsd,0.740640036,0.02 ,0.757353,408,309,11,310,2.6961
metrics-statsd,0.760921203,0.03 ,0.757353,408,309,11,310,2.6961
metrics-statsd,0.794372756,0.04 ,0.757353,408,309,11,310,2.6961
metrics-statsd,0.825098753,0.05 ,0.757353,408,309,11,310,2.6961
rtree,0.748276089,0.01 ,0.737774,2147,1584,199,1806,9.2687
rtree,0.785141699,0.02 ,0.737774,2147,1584,199,1806,9.2687
rtree,0.826468512,0.03 ,0.737774,2147,1584,199,1806,9.2687
rtree,0.847228313,0.04 ,0.737774,2147,1584,199,1806,9.2687
rtree,0.851250024,0.05 ,0.737774,2147,1584,199,1806,9.2687
java-uuid-generator,0.719262245,0.01 ,0.394311,2039,804,45,1764,2.207
java-uuid-generator,0.795245159,0.02 ,0.394311,2039,804,45,1764,2.207
java-uuid-generator,0.825902623,0.03 ,0.394311,2039,804,45,1764,2.207
java-uuid-generator,0.828858362,0.04 ,0.394311,2039,804,45,1764,2.207
java-uuid-generator,0.858719472,0.05 ,0.394311,2039,804,45,1764,2.207
WorldGuard,0.678032628,0.01 ,0.043556,25875,1127,148,21845,0.572
WorldGuard,0.761917237,0.02 ,0.043556,25875,1127,148,21845,0.572
WorldGuard,0.80530322,0.03 ,0.043556,25875,1127,148,21845,0.572
WorldGuard,0.809806013,0.04 ,0.043556,25875,1127,148,21845,0.572
WorldGuard,0.84971058,0.05 ,0.043556,25875,1127,148,21845,0.572
gson-fire,0.669503781,0.01 ,0.688742,755,520,36,895,4.7682
gson-fire,0.725987151,0.02 ,0.688742,755,520,36,895,4.7682
gson-fire,0.797694721,0.03 ,0.688742,755,520,36,895,4.7682
gson-fire,0.797866474,0.04 ,0.688742,755,520,36,895,4.7682
gson-fire,0.826004037,0.05 ,0.688742,755,520,36,895,4.7682
pusher-websocket-java,0.694559898,0.01 ,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,0.754552842,0.02 ,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,0.78128928,0.03 ,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,0.833873056,0.04 ,0.578912,1470,851,204,1634,13.8776
pusher-websocket-java,0.831074186,0.05 ,0.578912,1470,851,204,1634,13.8776
DiskLruCache,0.560671798,0.01 ,0.575499,1053,606,61,780,5.793
DiskLruCache,0.697637148,0.02 ,0.575499,1053,606,61,780,5.793
DiskLruCache,0.702367834,0.03 ,0.575499,1053,606,61,780,5.793
DiskLruCache,0.780310634,0.04 ,0.575499,1053,606,61,780,5.793
DiskLruCache,0.765072871,0.05 ,0.575499,1053,606,61,780,5.793
jackson-dataformat-csv,0.778103018,0.01 ,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,0.845701147,0.02 ,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,0.866533802,0.03 ,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,0.866029436,0.04 ,0.317734,6795,2159,100,5242,1.4717
jackson-dataformat-csv,0.893380604,0.05 ,0.317734,6795,2159,100,5242,1.4717
scrypt,0.79530235,0.01 ,0.837418,1224,1025,22,467,1.7974
scrypt,0.831557429,0.02 ,0.837418,1224,1025,22,467,1.7974
scrypt,0.846565741,0.03 ,0.837418,1224,1025,22,467,1.7974
scrypt,0.878543164,0.04 ,0.837418,1224,1025,22,467,1.7974
scrypt,0.874205734,0.05 ,0.837418,1224,1025,22,467,1.7974
redline-smalltalk,0.599877416,0.01 ,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,0.648752743,0.02 ,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,0.69219502,0.03 ,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,0.723612328,0.04 ,0.170641,10736,1832,43,5648,0.4005
redline-smalltalk,0.786077659,0.05 ,0.170641,10736,1832,43,5648,0.4005
clj-ds,0.822755256,0.01 ,0.069744,26626,1857,19,15521,0.0714
clj-ds,0.882856918,0.02 ,0.069744,26626,1857,19,15521,0.0714
clj-ds,0.903265812,0.03 ,0.069744,26626,1857,19,15521,0.0714
clj-ds,0.914575665,0.04 ,0.069744,26626,1857,19,15521,0.0714
clj-ds,0.924198616,0.05 ,0.069744,26626,1857,19,15521,0.0714
Liqp,0.858422271,0.01 ,0.454164,17410,7907,234,1876,1.3441
Liqp,0.907102033,0.02 ,0.454164,17410,7907,234,1876,1.3441
Liqp,0.918123968,0.03 ,0.454164,17410,7907,234,1876,1.3441
Liqp,0.927051082,0.04 ,0.454164,17410,7907,234,1876,1.3441
Liqp,0.933133315,0.05 ,0.454164,17410,7907,234,1876,1.3441
la4j,0.861711003,0.01 ,0.549357,13372,7346,758,9096,5.6686
la4j,0.896565848,0.02 ,0.549357,13372,7346,758,9096,5.6686
la4j,0.916721657,0.03 ,0.549357,13372,7346,758,9096,5.6686
la4j,0.925195848,0.04 ,0.549357,13372,7346,758,9096,5.6686
la4j,0.92904096,0.05 ,0.549357,13372,7346,758,9096,5.6686
wsdoc,0.815610587,0.01 ,0.639653,2073,1326,47,1598,2.2672
wsdoc,0.856098963,0.02 ,0.639653,2073,1326,47,1598,2.2672
wsdoc,0.874908239,0.03 ,0.639653,2073,1326,47,1598,2.2672
wsdoc,0.896022356,0.04 ,0.639653,2073,1326,47,1598,2.2672
wsdoc,0.907990683,0.05 ,0.639653,2073,1326,47,1598,2.2672
spring-data-commons,0.883077019,0.01 ,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,0.914653761,0.02 ,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,0.934142612,0.03 ,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,0.938046919,0.04 ,0.613786,13666,8388,1035,14722,7.5735
spring-data-commons,0.949738567,0.05 ,0.613786,13666,8388,1035,14722,7.5735
DotCi,0.812692439,0.01 ,0.220227,9245,2036,221,10038,2.3905
DotCi,0.867319787,0.02 ,0.220227,9245,2036,221,10038,2.3905
DotCi,0.879130396,0.03 ,0.220227,9245,2036,221,10038,2.3905
DotCi,0.904168105,0.04 ,0.220227,9245,2036,221,10038,2.3905
DotCi,0.911598025,0.05 ,0.220227,9245,2036,221,10038,2.3905
apache-httpclient,0.888097988,0.01 ,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,0.915765529,0.02 ,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,0.931270568,0.03 ,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,0.93919535,0.04 ,0.360584449,5749,2073,869,26604,15.1157
apache-httpclient,0.943207712,0.05 ,0.360584449,5749,2073,869,26604,15.1157
apache-mina,0.887508693,0.01 ,0.293984109,7929,2331,197,26869,2.4846
apache-mina,0.912887083,0.02 ,0.293984109,7929,2331,197,26869,2.4846
apache-mina,0.931521465,0.03 ,0.293984109,7929,2331,197,26869,2.4846
apache-mina,0.941572017,0.04 ,0.293984109,7929,2331,197,26869,2.4846
apache-mina,0.949751833,0.05 ,0.293984109,7929,2331,197,26869,2.4846
assertj-core,0.891406176,0.01 ,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,0.921104095,0.02 ,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,0.92992166,0.03 ,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,0.94592298,0.04 ,0.841250606,4126,3471,5737,14128,139.0451
assertj-core,0.945817922,0.05 ,0.841250606,4126,3471,5737,14128,139.0451
common-collection,0.879212411,0.01 ,0.36469316,7398,2698,13677,23713,184.8743
common-collection,0.908969929,0.02 ,0.36469316,7398,2698,13677,23713,184.8743
common-collection,0.928572292,0.03 ,0.36469316,7398,2698,13677,23713,184.8743
common-collection,0.944372374,0.04 ,0.36469316,7398,2698,13677,23713,184.8743
common-collection,0.943415183,0.05 ,0.36469316,7398,2698,13677,23713,184.8743
common-io,0.877255616,0.01 ,0.765100671,3129,2394,965,8839,30.8405
common-io,0.912139555,0.02 ,0.765100671,3129,2394,965,8839,30.8405
common-io,0.927561625,0.03 ,0.765100671,3129,2394,965,8839,30.8405
common-io,0.937931987,0.04 ,0.765100671,3129,2394,965,8839,30.8405
common-io,0.943505088,0.05 ,0.765100671,3129,2394,965,8839,30.8405
commons-compress,0.900654436,0.01 ,0.634262845,7746,4913,491,17888,6.3388
commons-compress,0.922252394,0.02 ,0.634262845,7746,4913,491,17888,6.3388
commons-compress,0.938319493,0.03 ,0.634262845,7746,4913,491,17888,6.3388
commons-compress,0.947440479,0.04 ,0.634262845,7746,4913,491,17888,6.3388
commons-compress,0.947536259,0.05 ,0.634262845,7746,4913,491,17888,6.3388
JFreeChart,0.944617085,0.01 ,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,0.955268575,0.02 ,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,0.965787139,0.03 ,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,0.971849547,0.04 ,0.323307195,34942,11297,2256,98334,6.4564
JFreeChart,0.972977912,0.05 ,0.323307195,34942,11297,2256,98334,6.4564
jgrapht,0.867310565,0.01 ,0.561187545,2762,1550,152,12511,5.5033
jgrapht,0.912722876,0.02 ,0.561187545,2762,1550,152,12511,5.5033
jgrapht,0.924057797,0.03 ,0.561187545,2762,1550,152,12511,5.5033
jgrapht,0.93180273,0.04 ,0.561187545,2762,1550,152,12511,5.5033
jgrapht,0.942198933,0.05 ,0.561187545,2762,1550,152,12511,5.5033
PMD-core,0.881944044,0.01 ,0.308760378,20958,6471,458,20958,2.1853
PMD-core,0.907195218,0.02 ,0.308760378,20958,6471,458,20958,2.1853
PMD-core,0.922456921,0.03 ,0.308760378,20958,6471,458,20958,2.1853
PMD-core,0.932003364,0.04 ,0.308760378,20958,6471,458,20958,2.1853
PMD-core,0.943911136,0.05 ,0.308760378,20958,6471,458,20958,2.1853
xstream,0.854570214,0.01 ,0.568705927,5247,2984,1618,19111,30.8367
xstream,0.886983937,0.02 ,0.568705927,5247,2984,1618,19111,30.8367
xstream,0.912691753,0.03 ,0.568705927,5247,2984,1618,19111,30.8367
xstream,0.926874783,0.04 ,0.568705927,5247,2984,1618,19111,30.8367
xstream,0.93155328,0.05 ,0.568705927,5247,2984,1618,19111,30.8367
