subject,kendallCorrelation,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
exp4j,0.804952092,0.04 ,0.870761,1563,1361,284,1086,18.1702
exp4j,0.827930544,0.05 ,0.870761,1563,1361,284,1086,18.1702
Confucius,0.640434483,0.01 ,0.927419,620,575,84,503,13.5484
Confucius,0.725942271,0.02 ,0.927419,620,575,84,503,13.5484
Confucius,0.790807665,0.03 ,0.927419,620,575,84,503,13.5484
Confucius,0.805496535,0.04 ,0.927419,620,575,84,503,13.5484
Confucius,0.818341839,0.05 ,0.927419,620,575,84,503,13.5484
geojson-jackson,0.617995932,0.01 ,0.419805,717,301,44,654,6.1367
geojson-jackson,0.686767105,0.02 ,0.419805,717,301,44,654,6.1367
geojson-jackson,0.722774133,0.03 ,0.419805,717,301,44,654,6.1367
geojson-jackson,0.755375647,0.04 ,0.419805,717,301,44,654,6.1367
geojson-jackson,0.782757938,0.05 ,0.419805,717,301,44,654,6.1367
visualee,0.731621924,0.01 ,0.468421,1900,890,76,1645,4
visualee,0.796991383,0.02 ,0.468421,1900,890,76,1645,4
visualee,0.832605793,0.03 ,0.468421,1900,890,76,1645,4
visualee,0.852842185,0.04 ,0.468421,1900,890,76,1645,4
visualee,0.870287519,0.05 ,0.468421,1900,890,76,1645,4
GenericTree,0.673657501,0.01 ,0.811321,265,215,49,234,18.4906
GenericTree,0.74611065,0.02 ,0.811321,265,215,49,234,18.4906
GenericTree,0.765360773,0.03 ,0.811321,265,215,49,234,18.4906
GenericTree,0.790578765,0.04 ,0.811321,265,215,49,234,18.4906
GenericTree,0.805596609,0.05 ,0.811321,265,215,49,234,18.4906
jackson-datatype-guava,0.71276735,0.01 ,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,0.779400655,0.02 ,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,0.807017473,0.03 ,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,0.838610178,0.04 ,0.51682,1635,845,73,2217,4.4648
jackson-datatype-guava,0.848331275,0.05 ,0.51682,1635,845,73,2217,4.4648
evernote-sdk-java,0.598511848,0.01 ,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,0.694258991,0.02 ,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,0.752774134,0.03 ,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,0.808979265,0.04 ,0.002102,74208,156,14,2370,0.0189
evernote-sdk-java,0.792699019,0.05 ,0.002102,74208,156,14,2370,0.0189
urlbuilder,0.78099448,0.01 ,0.786653,989,778,48,690,4.8534
urlbuilder,0.82673033,0.02 ,0.786653,989,778,48,690,4.8534
urlbuilder,0.86451374,0.03 ,0.786653,989,778,48,690,4.8534
urlbuilder,0.880938564,0.04 ,0.786653,989,778,48,690,4.8534
urlbuilder,0.896035727,0.05 ,0.786653,989,778,48,690,4.8534
skype-java-api,0.726091152,0.01 ,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.818309201,0.02 ,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.846603321,0.03 ,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.864632877,0.04 ,0.134994,6504,878,43,6356,0.6611
skype-java-api,0.874430241,0.05 ,0.134994,6504,878,43,6356,0.6611
HTTP-Proxy-Servlet,0.569278991,0.01 ,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,0.665463222,0.02 ,0.620579,622,386,26,493,4.1801
