name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
Confucius,0.772768128,1,0.927419355,620,575,84,503,13.5483871,13.997,-0.075349437,6.429719478,6.354370041,4.430816799,6.22059017,2.606267507,2.638843021,-1.07826087,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809524,-0.071443881
JActor,0.542453757,1,0.095860566,1377,132,60,2413,4.357298475,7.6175,-2.344860576,7.227662499,4.882801923,4.094344562,7.788626066,1.471852249,2.030448232,-10.43181818,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.2295,-0.131276666
protoparser,0.954543716,1,0.720659341,4550,3279,166,2115,3.648351648,7.623,-0.327588735,8.422882512,8.095293777,5.111987788,7.656810091,1.294275462,2.031169993,-1.387618176,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274096386,-0.131181949
multi-thread-context,1,1,0.034883721,258,9,31,580,12.01550388,8.7895,-3.355735008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197806,2.173557827,-28.66666667,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225806,-0.113772114
mimecraft,0.776964104,1,0.784511785,297,233,14,394,4.713804714,9.2245,-0.242693685,5.693732139,5.451038454,2.63905733,5.976350909,1.550495377,2.221862988,-1.274678112,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212142857,-0.10840696
stateless4j,0.730880863,1,0.561781609,696,391,61,864,8.764367816,8.768,-0.5766421,6.54534966,5.96870756,4.110873864,6.761572769,2.17069439,2.17110873,-1.780051151,-0.001436782,-0.002557545,-0.016393443,-0.001157407,-0.114098361,-0.114051095
jumblr,0.85135193,1,0.516047297,1184,611,103,1494,8.699324324,8.5435,-0.661556856,7.076653815,6.415096959,4.634728988,7.309212366,2.163245359,2.14517076,-1.937806874,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951456,-0.117048048
exp4j,0.820394868,1,0.870761356,1563,1361,284,1086,18.17018554,8.722,-0.138387328,7.35436233,7.215975003,5.648974238,6.9902565,2.899782094,2.165848569,-1.148420279,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035211,-0.114652603
linq4j,0.970200814,1,0.375483284,13191,4953,221,14307,1.675384732,15.8485,-0.979541325,9.487290058,8.507748733,5.398162702,9.568504207,0.51604283,2.763074859,-2.663234403,-7.58E-05,-0.000201898,-0.004524887,-6.99E-05,-0.596877828,-0.063097454
jPopulator,0.858020667,1,0.509337861,1178,600,70,969,5.942275042,15.8205,-0.674643709,7.071573364,6.396929655,4.248495242,6.876264612,1.782092064,2.761306567,-1.963333333,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285714,-0.063209127
java-jwt,0.716750258,1,0.787280702,456,359,54,422,11.84210526,58.914,-0.239170421,6.12249281,5.883322388,3.988984047,6.045005314,2.471661423,4.076078753,-1.270194986,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444444,-0.016973894
spring-retry,0.916390243,1,0.611062718,2296,1403,185,2716,8.057491289,103.0955,-0.492555677,7.738923757,7.24636808,5.220355825,7.906915489,2.086602254,4.635655743,-1.636493229,-0.00043554,-0.000712758,-0.005405405,-0.000368189,-0.124108108,-0.009699744
