projectName,y,x1,x2,x3,x4,x5,x6,x7,x8,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,lnx8,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7,neginvx8
visualee,0.918666,0.01,56.38,0.468421,1900,890,76,1645,4,4.032114486,-0.758387815,7.549609165,6.791221463,4.33073334,7.405495663,1.386294361,-0.017736786,-2.134831701,-0.000526316,-0.001123596,-0.013157895,-0.000607903,-0.25
GenericTree,0.808128,0.01,36.56,0.811321,265,215,49,234,18.4906,3.598954747,-0.209091496,5.579729826,5.370638028,3.891820298,5.455321115,2.917262495,-0.027352298,-1.232557767,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081533
jackson-datatype-guava,0.917482,0.01,54.8,0.51682,1635,845,73,2217,4.4648,4.003690194,-0.660060628,7.399398083,6.739336627,4.290459441,7.70391021,1.49622442,-0.018248175,-1.93490964,-0.000611621,-0.001183432,-0.01369863,-0.00045106,-0.223974198
evernote-sdk-java,0.729984,0.01,8.05,0.002102,74208,156,14,2370,0.0189,2.085672091,-6.164866007,11.21462724,5.049856007,2.63905733,7.770645234,-3.968593357,-0.124223602,-475.737393,-1.35E-05,-0.006410256,-0.071428571,-0.000421941,-52.91005291
urlbuilder,0.915636,0.01,34.41,0.786653,989,778,48,690,4.8534,3.53834722,-0.239968043,6.896694332,6.656726524,3.871201011,6.536691598,1.57967949,-0.029061319,-1.271208525,-0.001011122,-0.001285347,-0.020833333,-0.001449275,-0.206041126
skype-java-api,0.922699,0.01,34.61,0.134994,6504,878,43,6356,0.6611,3.544142658,-2.002524946,8.780172651,6.777646594,3.761200116,8.757154528,-0.413850165,-0.028893383,-7.40773664,-0.000153752,-0.001138952,-0.023255814,-0.000157332,-1.512630464
HTTP-Proxy-Servlet,0.848808,0.01,8.85,0.620579,622,386,26,493,4.1801,2.180417459,-0.477102366,6.432940093,5.955837369,3.258096538,6.200509174,1.43033517,-0.11299435,-1.611398388,-0.001607717,-0.002590674,-0.038461538,-0.002028398,-0.239228727
PauselessHashMap,0.8659,0.01,908.6,0.512845,1051,539,1550,958,147.4786,6.811904953,-0.667781624,6.957497371,6.289715571,7.34601021,6.864847778,4.993683081,-0.001100594,-1.949906892,-0.000951475,-0.001855288,-0.000645161,-0.001043841,-0.006780645
ews-java-api,0.965674,0.01,81.75,0.058379,31501,1839,99,45313,0.3143,4.40366581,-2.840799043,10.35777457,7.516977225,4.59511985,10.72134925,-1.157407335,-0.012232416,-17.12944723,-3.17E-05,-0.000543774,-0.01010101,-2.21E-05,-3.18167356
IClojure,0.567101,0.01,4.85,0.085145,1104,94,12,962,1.087,1.578978705,-2.463399594,7.006695227,4.543294782,2.48490665,6.869014451,0.083421608,-0.206185567,-11.74467086,-0.000905797,-0.010638298,-0.083333333,-0.001039501,-0.919963201
RestFixture,0.959517,0.01,234.25,0.682206,3282,2239,268,3106,8.1658,5.456388921,-0.382423614,8.096208272,7.713784617,5.590986981,8.041091004,2.099954701,-0.004268943,-1.465832901,-0.000304692,-0.000446628,-0.003731343,-0.000321958,-0.122461976
jInstagram,0.710056,0.01,40.19,0.07699,2299,177,74,3476,3.2188,3.693618208,-2.564079736,7.740229525,5.176149733,4.304065093,8.153637486,1.169008619,-0.024881811,-12.98869983,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310674786
linq4j,0.983876,0.01,208.24,0.375483,13191,4953,221,14307,1.6754,5.338691261,-0.979542082,9.487290058,8.507748733,5.398162702,9.568504207,0.516051943,-0.004802151,-2.663236418,-7.58E-05,-0.000201898,-0.004524887,-6.99E-05,-0.596872389
javapoet,0.970752,0.01,130.32,0.771391,3775,2912,152,2454,4.0265,4.869992964,-0.2595599,8.236155662,7.976595409,5.023880521,7.805474625,1.392897512,-0.007673419,-1.296359434,-0.000264901,-0.000343407,-0.006578947,-0.000407498,-0.24835465
statsd-jvm-profiler,0.790594,0.01,20.24,0.370258,659,244,33,691,5.0076,3.007660844,-0.993555219,6.490723535,5.497168225,3.496507561,6.538139824,1.610956758,-0.049407115,-2.700819429,-0.001517451,-0.004098361,-0.03030303,-0.001447178,-0.199696461
scribe-java,0.868086,0.01,68.1,0.351901,1867,657,99,2778,5.3026,4.220977213,-1.044405393,7.532088144,6.487684018,4.59511985,7.929486523,1.668197266,-0.014684288,-2.841708321,-0.000535619,-0.00152207,-0.01010101,-0.000359971,-0.188586731
expiringmap,0.925063,0.01,18.06,0.560819,781,438,26,802,3.3291,2.893699548,-0.578357064,6.66057515,6.08221891,3.258096538,6.687108608,1.202701997,-0.055370986,-1.783106492,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300381484
multi-thread-context,1,0.01,15.96,0.034884,258,9,31,580,12.0155,2.770085592,-3.355727008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197483,-0.062656642,-28.66643734,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225833
webbit,0.942748,0.01,104.56,0.330933,3750,1241,131,4914,3.4933,4.649761069,-1.105839341,8.229511119,7.123672785,4.875197323,8.499843553,1.250846848,-0.009563887,-3.021759692,-0.000266667,-0.000805802,-0.007633588,-0.0002035,-0.286262273
jenkins-ansicolor-plugin,0.840814,0.01,10.88,0.413858,534,221,26,500,4.8689,2.386926241,-0.882232359,6.280395839,5.398162702,3.258096538,6.214608098,1.582868039,-0.091911765,-2.416287712,-0.001872659,-0.004524887,-0.038461538,-0.002,-0.2053852
raml-java-parser,0.978674,0.01,160.18,0.708968,6044,4285,190,8217,3.1436,5.076298183,-0.343944887,8.706821323,8.362875831,5.247024072,9.013960458,1.14536864,-0.006242977,-1.410500897,-0.000165453,-0.000233372,-0.005263158,-0.000121699,-0.318106629
geohash-java,0.941349,0.01,42.36,0.685119,1680,1151,56,920,3.3333,3.746204521,-0.378162733,7.426549072,7.048386409,4.025351691,6.82437367,1.203962804,-0.023607177,-1.459600449,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.300003
compress,0.977602,0.01,39.69,0.474887,5734,2723,43,4387,0.7499,3.681099267,-0.744678398,8.654168646,7.909489493,3.761200116,8.386400901,-0.287815415,-0.025195263,-2.105764108,-0.000174398,-0.000367242,-0.023255814,-0.000227946,-1.333511135
spatial4j,0.980629,0.01,228.62,0.498435,7666,3821,252,5243,3.2872,5.432061237,-0.696282089,8.944550246,8.248267447,5.529429088,8.564649133,1.190036139,-0.004374071,-2.006279655,-0.000130446,-0.000261712,-0.003968254,-0.00019073,-0.30421027
glacieruploader,0.867609,0.01,13.9,0.305825,824,252,22,987,2.6699,2.63188884,-1.184742236,6.71417053,5.529429088,3.091042453,6.894670039,0.982041019,-0.071942446,-3.269843865,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545863
zt-exec,0.823908,0.01,34.29,0.315512,1328,419,71,1670,5.3464,3.534853766,-1.153558563,7.19142933,6.03787092,4.262679877,7.420578905,1.676423437,-0.029163021,-3.169451558,-0.000753012,-0.002386635,-0.014084507,-0.000598802,-0.187041748
rome,0.986429,0.01,416.53,0.456866,10734,4904,475,11704,4.4252,6.031958488,-0.783365148,9.281171553,8.497806478,6.163314804,9.367685943,1.487315475,-0.002400787,-2.188825608,-9.32E-05,-0.000203915,-0.002105263,-8.54E-05,-0.225978487
webprotege,0.984699,0.01,1612.56,0.091384,61455,5616,1659,77573,2.6995,7.385578257,-2.392684871,11.02606048,8.633374946,7.41397029,11.25897471,0.993066571,-0.000620132,-10.94283463,-1.63E-05,-0.000178063,-0.000602773,-1.29E-05,-0.37043897
xsoup,0.946296,0.01,21.45,0.529895,2191,1161,27,2031,1.2323,3.065724645,-0.635076405,7.69211334,7.057036982,3.295836866,7.616283562,0.208882342,-0.046620047,-1.887166325,-0.000456413,-0.000861326,-0.037037037,-0.000492368,-0.811490708
protoparser,0.977524,0.01,149.31,0.720659,4550,3279,166,2115,3.6484,5.006024682,-0.327589208,8.422882512,8.095293777,5.111987788,7.656810091,1.294288715,-0.006697475,-1.387618832,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274092753
jitescript,0.841863,0.01,7.91,0.219973,1482,326,14,1397,0.9447,2.068127782,-1.514250467,7.301147806,5.786897381,2.63905733,7.242082359,-0.056887862,-0.12642225,-4.546012465,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058537102
gelfj,0.833454,0.01,18.49,0.34856,1007,351,28,1120,2.7805,2.917230045,-1.053944897,6.914730893,5.860786223,3.33220451,7.021083964,1.022630768,-0.054083288,-2.868946523,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359647545
parsii,0.952088,0.01,12.24,0.509169,2563,1305,16,1713,0.6243,2.504709277,-0.674975294,7.848933726,7.17395832,2.772588722,7.446001498,-0.471124257,-0.081699346,-1.963984453,-0.000390168,-0.000766284,-0.0625,-0.000583771,-1.601794009
low-gc-membuffers,0.963708,0.01,43.34,0.512042,3654,1871,51,3183,1.3957,3.769075996,-0.669348626,8.203577737,7.534228326,3.931825633,8.065579427,0.333396082,-0.023073373,-1.952964796,-0.000273673,-0.000534474,-0.019607843,-0.000314169,-0.716486351
gdx-artemis,0.943085,0.01,26.51,0.570581,1686,962,35,1951,2.0759,3.27752202,-0.561100139,7.430114139,6.869014451,3.555348061,7.576097341,0.730394795,-0.037721614,-1.752599543,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481718773
java-jwt,0.799582,0.01,28.05,0.787281,456,359,54,422,11.8421,3.333988632,-0.239170042,6.12249281,5.883322388,3.988984047,6.045005314,2.471660979,-0.035650624,-1.270194505,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444482
hashids-java,0.928469,0.01,5.25,0.631776,535,338,11,258,2.0561,1.658228077,-0.459220378,6.282266747,5.823045895,2.397895273,5.552959585,0.720810985,-0.19047619,-1.582839487,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486357667
stateless4j,0.850965,0.01,35.7,0.561782,696,391,61,864,8.7644,3.575150689,-0.576641405,6.54534966,5.96870756,4.110873864,6.761572769,2.170698062,-0.028011204,-1.780049913,-0.001436782,-0.002557545,-0.016393443,-0.001157407,-0.114097942
jumblr,0.892827,0.01,85.59,0.516047,1184,611,103,1494,8.6993,4.449568454,-0.661557432,7.076653815,6.415096959,4.634728988,7.309212366,2.163242563,-0.011683608,-1.93780799,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951778
kryo-serializers,0.917549,0.01,134.45,0.627602,1297,814,154,1564,11.8736,4.901192383,-0.465849071,7.167809184,6.701960366,5.036952602,7.355001921,2.474317448,-0.007437709,-1.593366497,-0.00077101,-0.001228501,-0.006493506,-0.000639386,-0.084220455
kafka-spout,0.811207,0.01,33.35,0.820755,424,348,51,477,12.0283,3.507057772,-0.197530631,6.049733455,5.85220248,3.931825633,6.167516491,2.487262207,-0.029985007,-1.218390384,-0.002358491,-0.002873563,-0.019607843,-0.002096436,-0.083137268
computoser,0.950777,0.01,9.11,0.049949,14615,730,12,11626,0.0821,2.209372711,-2.996752794,9.589803678,6.593044534,2.48490665,9.360999248,-2.499817263,-0.109769484,-20.02042083,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.18026797
jsemver,0.941852,0.01,147.98,0.833623,1725,1438,202,1441,11.7101,4.997077129,-0.181974017,7.452982329,7.271008538,5.308267697,7.273092596,2.460451717,-0.00675767,-1.199583025,-0.00057971,-0.00069541,-0.004950495,-0.000693963,-0.085396367
ashot,0.913698,0.01,30.41,0.574189,1294,743,42,1247,3.2457,3.414771502,-0.554796669,7.165493475,6.610696045,3.737669618,7.128495946,1.177331043,-0.03288392,-1.741586829,-0.000772798,-0.001345895,-0.023809524,-0.000801925,-0.308099948
LastCalc,0.970425,0.01,30.61,0.391409,6635,2597,34,4594,0.5124,3.421326753,-0.93800223,8.800113947,7.862112212,3.526360525,8.432506383,-0.668649709,-0.032669062,-2.554872269,-0.000150716,-0.00038506,-0.029411765,-0.000217675,-1.951600312
JAdventure,0.913322,0.01,27.56,0.144959,5098,739,35,3785,0.6865,3.316365446,-1.931304335,8.536603585,6.605297921,3.555348061,8.238801166,-0.376149054,-0.03628447,-6.898502335,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456664239
invokebinder,0.906735,0.01,81.92,0.44779,1561,699,107,1623,6.8546,4.405743161,-0.803430906,7.353081921,6.549650742,4.672828834,7.392031568,1.92491996,-0.012207031,-2.233189665,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.145887433
mimecraft,0.830461,0.01,7.63,0.784512,297,233,14,394,4.7138,2.032087845,-0.242693411,5.693732139,5.451038454,2.63905733,5.976350909,1.550494377,-0.131061599,-1.274677761,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212143069
pollexor,0.890959,0.01,44.08,0.848929,887,753,58,592,6.5389,3.786006165,-0.163779724,6.787844982,6.624065228,4.060443011,6.383506635,1.877768956,-0.022686025,-1.177954811,-0.001127396,-0.001328021,-0.017241379,-0.001689189,-0.152930921
nar-maven-plugin,0.969985,0.01,355.69,0.09281,27928,2592,465,23665,1.665,5.874059565,-2.377200886,10.23738505,7.860185057,6.142037406,10.07175244,0.509825123,-0.002811437,-10.774701,-3.58E-05,-0.000385802,-0.002150538,-4.23E-05,-0.600600601
xembly,0.939938,0.01,42.74,0.38895,2715,1056,57,1202,2.0994,3.75513525,-0.944304478,7.906547232,6.962243464,4.043051268,7.091742115,0.74165159,-0.023397286,-2.571024553,-0.000368324,-0.00094697,-0.01754386,-0.000831947,-0.476326569
dropwizard-guice,0.771916,0.01,6.94,0.509934,302,154,15,381,4.9669,1.937301775,-0.673473973,5.710427017,5.036952602,2.708050201,5.942799375,1.602795903,-0.144092219,-1.961038095,-0.003311258,-0.006493506,-0.066666667,-0.002624672,-0.201332823
jackson-datatype-joda,0.892363,0.01,53.55,0.556931,1212,675,73,1543,6.0231,3.980615797,-0.585313925,7.100027167,6.514712691,4.290459441,7.341483852,1.795602077,-0.018674136,-1.795554566,-0.000825083,-0.001481481,-0.01369863,-0.000648088,-0.166027461
cassandra-reaper,0.943053,0.01,81.91,0.245935,4981,1225,104,5444,2.0879,4.405621084,-1.402688006,8.513385953,7.110696123,4.644390899,8.602269364,0.736158776,-0.012208522,-4.06611503,-0.000200763,-0.000816327,-0.009615385,-0.000183688,-0.478950141
jmeter-maven-plugin,0.877496,0.01,41.98,0.264614,2241,593,57,1297,2.5435,3.737193314,-1.329483119,7.714677474,6.385194399,4.043051268,7.167809184,0.933541085,-0.023820867,-3.779089542,-0.000446229,-0.001686341,-0.01754386,-0.00077101,-0.393159033
jPopulator,0.887583,0.01,52.72,0.509338,1178,600,70,969,5.9423,3.96499489,-0.674643436,7.071573364,6.396929655,4.248495242,6.876264612,1.782096264,-0.018968134,-1.963332797,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285007
geocluster-facet,0.842838,0.01,9.23,0.488449,606,296,15,553,2.4752,2.222459049,-0.716520214,6.406879986,5.690359454,2.708050201,6.315358002,0.906321201,-0.108342362,-2.047296647,-0.001650165,-0.003378378,-0.066666667,-0.001808318,-0.404007757
wsc,0.969905,0.01,12.26,0.094083,17931,1687,16,13016,0.0892,2.506341931,-2.363577908,9.794286337,7.430707083,2.772588722,9.473934649,-2.416874239,-0.081566069,-10.62891277,-5.58E-05,-0.000592768,-0.0625,-7.68E-05,-11.21076233
obd-java-api,0.833237,0.01,29.37,0.434673,796,346,42,1111,5.2764,3.379973745,-0.833161255,6.679599186,5.846438775,3.737669618,7.01301579,1.663244047,-0.034048349,-2.300579976,-0.001256281,-0.002890173,-0.023809524,-0.00090009,-0.18952316
sonar-objective-c,0.805967,0.01,16.16,0.256795,1067,274,31,1441,2.9053,2.782539053,-1.359477178,6.972606251,5.613128106,3.433987204,7.273092596,1.066536655,-0.061881188,-3.894156818,-0.000937207,-0.003649635,-0.032258065,-0.000693963,-0.344198534
spring-retry,0.946618,0.01,150.68,0.611063,2296,1403,185,2716,8.0575,5.015158383,-0.492555215,7.738923757,7.24636808,5.220355825,7.906915489,2.086603335,-0.006636581,-1.636492473,-0.00043554,-0.000712758,-0.005405405,-0.000368189,-0.124107974
jprotobuf,0.945594,0.01,32.35,0.337189,4496,1516,49,3015,1.0899,3.476614021,-1.087111675,8.410943392,7.323830566,3.891820298,8.011355109,0.086085949,-0.030911901,-2.965695797,-0.00022242,-0.000659631,-0.020408163,-0.000331675,-0.917515368
jmxutils,0.931166,0.01,476.7,0.564184,1893,1068,754,2284,39.831,6.166887362,-0.57237484,7.545918151,6.97354302,6.625392368,7.733683571,3.684645504,-0.002097755,-1.772471392,-0.000528262,-0.00093633,-0.00132626,-0.000437828,-0.025106073
JActor,0.726932,0.01,23.18,0.095861,1377,132,60,2413,4.3573,3.143289838,-2.344856053,7.227662499,4.882801923,4.094344562,7.788626066,1.471852599,-0.043140638,-10.431771,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.22949992
brickhouse,0.8872,0.01,21.72,0.049623,9411,467,30,8831,0.3188,3.078233495,-3.003300843,9.149634497,6.146329258,3.401197382,9.086023537,-1.143191332,-0.046040516,-20.15194567,-0.000106259,-0.002141328,-0.033333333,-0.000113237,-3.136762861
JavaVerbalExpressions,0.804283,0.01,35.88,0.786967,399,314,69,326,17.2932,3.580180037,-0.239568963,5.988961417,5.749392986,4.234106505,5.786897381,2.850313361,-0.02787068,-1.270701313,-0.002506266,-0.003184713,-0.014492754,-0.003067485,-0.057826198
metrics-statsd,0.880073,0.01,7.63,0.757353,408,309,11,310,2.6961,2.032087845,-0.27792582,6.011267174,5.733341277,2.397895273,5.736572297,0.991806284,-0.131061599,-1.320388247,-0.00245098,-0.003236246,-0.090909091,-0.003225806,-0.370906124
rtree,0.953699,0.01,152.28,0.737774,2147,1584,199,1806,9.2687,5.025720932,-0.304117734,7.671826798,7.367708572,5.293304825,7.498869734,2.226643132,-0.006566851,-1.355428627,-0.000465766,-0.000631313,-0.005025126,-0.00055371,-0.107889995
java-uuid-generator,0.904111,0.01,31.07,0.394311,2039,804,45,1764,2.207,3.436242723,-0.930615341,7.620214771,6.689599269,3.80666249,7.475339237,0.791634127,-0.032185388,-2.536069245,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453103761
