name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
dropwizard-guice,0.936878049,5,0.788461538,104,82,16,381,15.38461538,4.71,-0.237671652,4.644390899,4.406719247,2.772588722,5.942799375,2.733368009,1.549687908,-1.268292683,-0.009615385,-0.012195122,-0.0625,-0.002624672,-0.065,-0.212314225
gelfj,0.893780702,5,0.246220302,463,114,21,1120,4.535637149,15.735,-1.401528606,6.137727054,4.736198448,3.044522438,7.021083964,1.51196557,2.755887531,-4.061403509,-0.002159827,-0.00877193,-0.047619048,-0.000892857,-0.22047619,-0.06355259
wsc,0.989485623,5,0.090742172,10348,939,17,13016,0.164282953,12.677,-2.399733064,9.244548543,6.844815479,2.833213344,9.473934649,-1.806165013,2.539789328,-11.02023429,-9.66E-05,-0.001064963,-0.058823529,-7.68E-05,-6.087058824,-0.078883016
sonar-objective-c,0.72077193,5,0.162857143,350,57,32,1441,9.142857143,14.972,-1.814881887,5.857933154,4.043051268,3.465735903,7.273092596,2.212972934,2.70618179,-6.140350877,-0.002857143,-0.01754386,-0.03125,-0.000693963,-0.109375,-0.066791344
Confucius,0.845681034,5,0.84057971,138,116,85,503,61.5942029,50.256,-0.173663494,4.927253685,4.753590191,4.442651256,6.22059017,4.120567757,3.917129943,-1.189655172,-0.007246377,-0.00862069,-0.011764706,-0.001988072,-0.016235294,-0.019898122
JActor,0.949044335,5,0.394174757,515,203,61,2413,11.84466019,45.871,-0.930960922,6.244166901,5.313205979,4.110873864,7.788626066,2.47187715,3.825833109,-2.536945813,-0.001941748,-0.004926108,-0.016393443,-0.000414422,-0.08442623,-0.021800266
protoparser,0.982125622,5,0.504075235,1595,804,167,2115,10.47021944,151.909,-0.685029746,7.374629015,6.689599269,5.117993812,7.656810091,2.348534983,5.023281657,-1.983830846,-0.000626959,-0.001243781,-0.005988024,-0.000472813,-0.095508982,-0.006582888
multi-thread-context,0.711266667,5,0.239361702,188,45,32,580,17.0212766,16.451,-1.429779473,5.236441963,3.80666249,3.465735903,6.363028104,2.834464126,2.800386266,-4.177777778,-0.005319149,-0.022222222,-0.03125,-0.001724138,-0.05875,-0.060786578
mimecraft,0.867682353,5,0.708333333,120,85,15,394,12.5,10.059,-0.344840486,4.787491743,4.442651256,2.708050201,5.976350909,2.525728644,2.308467756,-1.411764706,-0.008333333,-0.011764706,-0.066666667,-0.002538071,-0.08,-0.099413461
stateless4j,0.852475248,5,0.454954955,222,101,62,864,27.92792793,37.537,-0.787556865,5.402677382,4.615120517,4.127134385,6.761572769,3.329627189,3.625327113,-2.198019802,-0.004504505,-0.00990099,-0.016129032,-0.001157407,-0.035806452,-0.026640381
jumblr,0.886359155,5,0.447949527,317,142,104,1494,32.80757098,84.608,-0.803074716,5.758901774,4.955827058,4.644390899,7.309212366,3.490659311,4.438028825,-2.232394366,-0.003154574,-0.007042254,-0.009615385,-0.000669344,-0.030480769,-0.011819213
exp4j,0.982369021,5,0.840191388,1045,878,286,1086,27.36842105,250.925,-0.174125571,6.951772164,6.777646594,5.655991811,6.9902565,3.309389832,5.52515409,-1.190205011,-0.000956938,-0.001138952,-0.003496503,-0.00092081,-0.036538462,-0.003985255
linq4j,0.990389831,5,0.32454733,4363,1416,222,14307,5.088242035,212.831,-1.125323899,8.380915173,7.255591274,5.402677382,9.568504207,1.626932395,5.360498424,-3.081214689,-0.0002292,-0.000706215,-0.004504505,-6.99E-05,-0.196531532,-0.004698564
jPopulator,0.94401444,5,0.593147752,467,277,70,969,14.98929336,58.283,-0.522311751,6.146329258,5.624017506,4.248495242,6.876264612,2.70733617,4.065310456,-1.685920578,-0.002141328,-0.003610108,-0.014285714,-0.001031992,-0.066714286,-0.017157662
java-jwt,0.896825397,5,0.797468354,158,126,79,422,50,54.658,-0.226313126,5.062595033,4.836281907,4.369447852,6.045005314,3.912023005,4.00109559,-1.253968254,-0.006329114,-0.007936508,-0.012658228,-0.002369668,-0.02,-0.018295583
spring-retry,0.97337931,5,0.552657974,997,551,186,2716,18.6559679,165.955,-0.593015961,6.90475077,6.311734809,5.225746674,7.906915489,2.92616609,5.111716667,-1.809437387,-0.001003009,-0.001814882,-0.005376344,-0.000368189,-0.053602151,-0.00602573
webbit,0.983378319,5,0.379672407,2381,904,127,4914,5.333893322,109.497,-0.968446486,7.775275846,6.80682936,4.844187086,8.499843553,1.674081426,4.695897152,-2.633849558,-0.000419992,-0.001106195,-0.007874016,-0.0002035,-0.187480315,-0.00913267
brickhouse,0.948796117,5,0.042988314,4792,206,30,8831,0.626043406,24.63,-3.146826971,8.47470314,5.327876169,3.401197382,9.086023537,-0.468335572,3.203965212,-23.26213592,-0.000208681,-0.004854369,-0.033333333,-0.000113237,-1.597333333,-0.040600893
