name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
patricia-trie,0.710397943,1,0.41221374,1441,594,18,2782,1.249132547,7.0885,-0.886213277,7.273092596,6.386879319,2.890371758,7.930925372,0.222449348,1.958473753,-2.425925926,-0.000693963,-0.001683502,-0.055555556,-0.000359454,-0.800555556,-0.14107357
greplin-bloom-filter,0.514505872,1,0.496522949,719,357,17,674,2.364394993,7.133,-0.700125576,6.577861358,5.877735782,2.833213344,6.513230111,0.860522172,1.964731903,-2.014005602,-0.001390821,-0.00280112,-0.058823529,-0.00148368,-0.422941176,-0.140193467
aho-corasick,0.504261957,1,0.759530792,341,259,32,499,9.384164223,9.508,-0.275054416,5.831882477,5.556828062,3.465735903,6.212606096,2.239023612,2.25213355,-1.316602317,-0.002932551,-0.003861004,-0.03125,-0.002004008,-0.1065625,-0.10517459
pusher-websocket-java,0.40763078,1,0.554054054,444,246,197,1634,44.36936937,11.9155,-0.590493027,6.095824562,5.505331536,5.283203729,7.398786275,3.792549352,2.477840074,-1.804878049,-0.002252252,-0.004065041,-0.005076142,-0.000611995,-0.022538071,-0.0839243
scribe-java,0.328849998,1,0.426470588,408,174,100,2778,24.50980392,12.006,-0.852211875,6.011267174,5.159055299,4.605170186,7.929486523,3.199073198,2.485406525,-2.344827586,-0.00245098,-0.005747126,-0.01,-0.000359971,-0.0408,-0.083291687
xsoup,0.624512241,1,0.513285024,828,425,28,2031,3.381642512,18.9155,-0.666923985,6.719013154,6.052089169,3.33220451,7.616283562,1.218361542,2.939981692,-1.948235294,-0.001207729,-0.002352941,-0.035714286,-0.000492368,-0.295714286,-0.052866697
jInstagram,0.343379639,1,0.052380952,630,33,74,3476,11.74603175,19.0975,-2.949212258,6.445719819,3.496507561,4.304065093,8.153637486,2.46351546,2.949557436,-19.09090909,-0.001587302,-0.03030303,-0.013513514,-0.000287687,-0.085135135,-0.052362875
metrics-statsd,0.426985456,1,0.606557377,61,37,12,310,19.67213115,21.551,-0.499955952,4.110873864,3.610917913,2.48490665,5.736572297,2.979202972,3.070422219,-1.648648649,-0.016393443,-0.027027027,-0.083333333,-0.003225806,-0.050833333,-0.046401559
dropwizard-guice,0.541925205,1,0.788461538,104,82,16,381,15.38461538,23.3945,-0.237671652,4.644390899,4.406719247,2.772588722,5.942799375,2.733368009,3.152500952,-1.268292683,-0.009615385,-0.012195122,-0.0625,-0.002624672,-0.065,-0.04274509
gelfj,0.416736344,1,0.246220302,463,114,21,1120,4.535637149,23.3575,-1.401528606,6.137727054,4.736198448,3.044522438,7.021083964,1.51196557,3.150918132,-4.061403509,-0.002159827,-0.00877193,-0.047619048,-0.000892857,-0.22047619,-0.042812801
wsc,0.965669306,1,0.090742172,10348,939,17,13016,0.164282953,21.372,-2.399733064,9.244548543,6.844815479,2.833213344,9.473934649,-1.806165013,3.062081654,-11.02023429,-9.66E-05,-0.001064963,-0.058823529,-7.68E-05,-6.087058824,-0.046790193
sonar-objective-c,0.345974286,1,0.162857143,350,57,32,1441,9.142857143,21.913,-1.814881887,5.857933154,4.043051268,3.465735903,7.273092596,2.212972934,3.087080068,-6.140350877,-0.002857143,-0.01754386,-0.03125,-0.000693963,-0.109375,-0.045635011
Confucius,0.2724299,1,0.84057971,138,116,85,503,61.5942029,12.653,-0.173663494,4.927253685,4.753590191,4.442651256,6.22059017,4.120567757,2.537894341,-1.189655172,-0.007246377,-0.00862069,-0.011764706,-0.001988072,-0.016235294,-0.07903264
JActor,0.413990142,1,0.394174757,515,203,61,2413,11.84466019,3.9625,-0.930960922,6.244166901,5.313205979,4.110873864,7.788626066,2.47187715,1.376875139,-2.536945813,-0.001941748,-0.004926108,-0.016393443,-0.000414422,-0.08442623,-0.252365931
protoparser,0.735568759,1,0.504075235,1595,804,167,2115,10.47021944,4.0505,-0.685029746,7.374629015,6.689599269,5.117993812,7.656810091,2.348534983,1.39884033,-1.983830846,-0.000626959,-0.001243781,-0.005988024,-0.000472813,-0.095508982,-0.246883101
multi-thread-context,0.27806236,1,0.239361702,188,45,32,580,17.0212766,9.5795,-1.429779473,5.236441963,3.80666249,3.465735903,6.363028104,2.834464126,2.259625399,-4.177777778,-0.005319149,-0.022222222,-0.03125,-0.001724138,-0.05875,-0.104389582
mimecraft,0.972609324,1,0.708333333,120,85,15,394,12.5,9.428,-0.344840486,4.787491743,4.442651256,2.708050201,5.976350909,2.525728644,2.243683985,-1.411764706,-0.008333333,-0.011764706,-0.066666667,-0.002538071,-0.08,-0.106067034
stateless4j,0.424919193,1,0.454954955,222,101,62,864,27.92792793,9.2225,-0.787556865,5.402677382,4.615120517,4.127134385,6.761572769,3.329627189,2.22164615,-2.198019802,-0.004504505,-0.00990099,-0.016129032,-0.001157407,-0.035806452,-0.108430469
