name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
brickhouse,0.740946224,1,0.042988314,4792,206,30,8831,0.626043406,50.306,-3.146826971,8.47470314,5.327876169,3.401197382,9.086023537,-0.468335572,3.918124354,-23.26213592,-0.000208681,-0.004854369,-0.033333333,-0.000113237,-1.597333333,-0.019878345
jmeter-maven-plugin,0.501880658,1,0.348088531,497,173,58,1297,11.67002012,51.6065,-1.055298432,6.208590026,5.153291595,4.060443011,7.167809184,2.45702317,3.943647634,-2.87283237,-0.002012072,-0.005780347,-0.017241379,-0.00077101,-0.085689655,-0.019377404
HTTP-Proxy-Servlet,0.571050409,1,0.52173913,253,132,25,493,9.881422925,32.0945,-0.650587566,5.533389489,4.882801923,3.218875825,6.200509174,2.290656522,3.468684676,-1.916666667,-0.003952569,-0.007575758,-0.04,-0.002028398,-0.1012,-0.031157987
geohash-java,0.966183667,1,0.760338346,2128,1618,57,920,2.678571429,14.603,-0.273991753,7.66293785,7.388946098,4.043051268,6.82437367,0.985283603,2.681226987,-1.315203956,-0.000469925,-0.000618047,-0.01754386,-0.001086957,-0.373333333,-0.06847908
JAdventure,0.577509996,1,0.074516262,2429,181,36,3785,1.482091396,14.428,-2.596737898,7.795234929,5.198497031,3.583518938,8.238801166,0.393454195,2.669170763,-13.4198895,-0.000411692,-0.005524862,-0.027777778,-0.000264201,-0.674722222,-0.069309676
skype-java-api,0.485264306,1,0.08129285,2042,166,25,6356,1.224289912,37.6785,-2.50969721,7.621684999,5.111987788,3.218875825,8.757154528,0.202361012,3.62908964,-12.30120482,-0.000489716,-0.006024096,-0.04,-0.000157332,-0.8168,-0.026540335
evernote-sdk-java,0.620769891,1,0.000743897,44361,33,15,2370,0.033813485,38.543,-7.203608423,10.70011598,3.496507561,2.708050201,7.770645234,-3.386895597,3.651774501,-1344.272727,-2.25E-05,-0.03030303,-0.066666667,-0.000421941,-29.574,-0.025945048
parsii,0.738426318,1,0.472505092,982,464,17,1713,1.731160896,22.141,-0.749706756,6.889591308,6.139884552,2.833213344,7.446001498,0.548792222,3.097431093,-2.11637931,-0.00101833,-0.002155172,-0.058823529,-0.000583771,-0.577647059,-0.045165078
JavaVerbalExpressions,0.571660908,1,0.731092437,119,87,69,326,57.98319328,6.553,-0.313215374,4.779123493,4.465908119,4.234106505,5.786897381,4.060153197,1.87992296,-1.367816092,-0.008403361,-0.011494253,-0.014492754,-0.003067485,-0.017246377,-0.152601862
cors-filter,0.549872862,1,0.666666667,195,130,73,588,37.43589744,6.402,-0.405465108,5.272999559,4.86753445,4.290459441,6.376726948,3.622630069,1.856610442,-1.5,-0.005128205,-0.007692308,-0.01369863,-0.00170068,-0.026712329,-0.156201187
zt-exec,0.620980805,1,0.523109244,476,249,71,1670,14.91596639,8.5375,-0.647964958,6.165417854,5.517452896,4.262679877,7.420578905,2.702432209,2.144468225,-1.911646586,-0.00210084,-0.004016064,-0.014084507,-0.000598802,-0.067042254,-0.117130307
