,V1,V2,V3,V4,V5,V6,TAverageSeleted,V8,V9,V10,V11,V12,V13,TAverageSeleted,V15,V16,V17,V18,V19,V20,TAverageSeleted,V22,V23,V24,V25,V26,V27,TAverageSeleted
1,-0.005398579,0.075223099,0.430914262,0.076510322,0.236779369,0.0119465,0.076571182,-0.009704912,0.329239125,0.437433936,0.308605028,0.450027233,-0.008418252,0.309553902,0.002420389,0.197335968,0.008112513,0.181087814,0.243600748,-0.004656687,0.186842105,0.003413843,0.294941316,0.549895646,0.17973235,0.355204142,0.003457595,0.180528522
1,-0.003109002,0.078339508,0.412595705,0.066272131,0.215066119,0.006851438,0.067095133,-0.009560836,0.352648044,0.45237336,0.301814255,0.461708723,-0.009553606,0.301868693,-0.000692311,0.235896169,0.002280324,0.200027727,0.298084538,-0.006874391,0.207154327,0.007187104,0.286630782,0.547454305,0.159465435,0.333257835,-0.001575617,0.159810201
1,-0.006771469,0.081830359,0.409641787,0.067112922,0.206424367,0.009495303,0.066631579,-0.009678921,0.354242532,0.461951249,0.310930916,0.452092069,-0.009339163,0.309158498,-0.003681412,0.241751446,0.000263666,0.211411196,0.29166458,-0.008561422,0.212368981,-0.002445458,0.283484011,0.546463552,0.159605347,0.326276126,0.00052531,0.160078232
1,-0.004705776,0.097546374,0.394196229,0.07077245,0.210094073,0.009994105,0.070270975,-0.008758853,0.366870666,0.449809922,0.318396141,0.455096952,-0.009438455,0.317735291,-0.008389158,0.250215005,-0.000681354,0.222229539,0.306523121,-0.009698811,0.228183776,0.00036724,0.269203879,0.529395882,0.160569536,0.328067329,0.001074233,0.159256058
1,-0.007071067,0.080274181,0.410411209,0.062384368,0.206987676,0.003335089,0.062620595,-0.009665353,0.359955448,0.483171532,0.292378518,0.459601741,-0.009707181,0.290611283,-0.001626645,0.246265452,-0.001519998,0.202690736,0.30995092,-0.007894207,0.204308702,0.000178486,0.291907128,0.5612594,0.145271971,0.328896127,-0.004750899,0.144494931
