0.307,0.276,0.57,0.038,0.22,-0.008,0.316
0.129,0.016,0.3,-0.001,0.027,-0.009,0.027
0.226,0.268,-0.008,0.086,0.174,0.042,0.307
0.216,0.351,0.471,0.037,0.075,-0.019,0.082
0.431,0.392,0.579,-0.003,0.265,-0.002,-0.01
0.178,0.064,0.361,-0.01,0.037,-0.009,-0.01
0.339,0.324,-0.01,0.029,0.222,0.004,-0.01
0.292,0.386,0.531,0.007,0.097,-0.019,-0.011
0.439,0.381,0.518,-0.008,0.3,-0.007,-0.009
0.218,0.091,0.445,-0.008,0.058,-0.009,-0.01
0.3,0.248,0.001,0.014,0.209,0.0,-0.01
0.333,0.384,0.573,0.005,0.136,-0.016,-0.01
0.395,0.356,0.561,0.002,0.251,-0.004,-0.01
0.158,0.05,0.325,-0.01,0.032,-0.009,-0.009
0.325,0.309,-0.009,0.035,0.224,0.008,-0.01
0.261,0.357,0.491,0.01,0.086,-0.019,-0.01
0.273,0.282,0.507,0.014,0.184,-0.003,0.246
0.106,0.044,0.239,-0.003,0.018,-0.01,0.019
0.209,0.258,-0.006,0.013,0.178,-0.003,0.29
0.18,0.25,0.387,0.029,0.051,-0.02,0.056
0.359,0.347,0.514,-0.004,0.227,-0.001,-0.002
0.139,0.071,0.283,-0.01,0.026,-0.009,0.003
0.299,0.282,-0.008,0.005,0.222,-0.007,-0.009
0.232,0.299,0.434,0.005,0.072,-0.019,-0.006
0.42,0.392,0.5,-0.01,0.292,-0.006,-0.009
0.2,0.118,0.41,-0.009,0.052,-0.01,-0.008
0.294,0.251,-0.003,-0.005,0.229,-0.009,-0.0
0.312,0.348,0.534,0.002,0.122,-0.016,-0.013
0.321,0.312,0.485,-0.001,0.212,-0.003,-0.002
0.122,0.062,0.253,-0.008,0.022,-0.009,0.002
0.272,0.253,-0.008,0.003,0.22,-0.008,-0.009
0.205,0.266,0.395,0.008,0.062,-0.019,-0.007
0.263,0.261,0.498,0.021,0.185,-0.006,0.23
0.098,0.028,0.223,-0.002,0.017,-0.009,0.017
0.197,0.262,-0.005,0.028,0.188,0.005,0.285
0.17,0.249,0.368,0.028,0.05,-0.019,0.053
0.34,0.32,0.505,0.001,0.226,-0.005,-0.006
0.129,0.053,0.265,-0.009,0.025,-0.008,-0.0
0.295,0.281,-0.008,0.014,0.229,-0.003,-0.01
0.215,0.287,0.415,0.006,0.068,-0.018,-0.005
0.433,0.396,0.513,-0.009,0.299,-0.006,-0.009
0.205,0.107,0.418,-0.008,0.056,-0.009,-0.001
0.304,0.27,-0.003,0.0,0.219,-0.007,-0.01
0.318,0.357,0.548,0.004,0.13,-0.016,-0.005
0.317,0.299,0.488,0.003,0.216,-0.006,-0.006
0.119,0.048,0.247,-0.007,0.022,-0.008,-0.0
0.278,0.265,-0.007,0.013,0.226,-0.003,-0.01
0.199,0.267,0.391,0.008,0.063,-0.018,-0.005
0.268,0.259,0.488,0.019,0.171,-0.004,0.203
0.097,0.024,0.22,-0.005,0.016,-0.01,0.016
0.204,0.268,-0.005,0.035,0.17,0.009,0.236
0.171,0.255,0.363,0.033,0.045,-0.019,0.048
0.327,0.302,0.5,0.005,0.218,-0.006,0.017
0.126,0.045,0.263,-0.008,0.024,-0.009,0.006
0.268,0.258,-0.008,0.021,0.212,0.0,0.026
0.211,0.285,0.411,0.011,0.067,-0.019,0.0
0.432,0.391,0.514,-0.009,0.306,-0.007,0.016
0.204,0.104,0.429,-0.009,0.056,-0.009,0.0
0.296,0.26,-0.002,0.002,0.225,-0.006,0.026
0.318,0.358,0.559,0.005,0.133,-0.016,-0.001
0.31,0.286,0.486,0.007,0.21,-0.006,0.016
0.119,0.041,0.249,-0.007,0.022,-0.009,0.005
0.255,0.245,-0.008,0.02,0.21,0.0,0.025
0.198,0.271,0.393,0.013,0.063,-0.019,-0.0
0.288,0.299,0.511,0.009,0.177,0.002,0.2
0.106,0.045,0.237,-0.007,0.018,-0.01,0.018
0.222,0.296,-0.005,0.013,0.163,-0.004,0.196
0.185,0.256,0.389,0.032,0.052,-0.018,0.054
0.328,0.302,0.498,0.005,0.219,-0.006,0.023
0.121,0.044,0.256,-0.008,0.023,-0.008,-0.005
0.293,0.277,-0.008,0.019,0.224,-0.001,0.027
0.202,0.274,0.402,0.011,0.067,-0.018,0.035
0.445,0.399,0.512,-0.01,0.311,-0.007,0.01
0.208,0.108,0.431,-0.007,0.056,-0.008,-0.007
0.318,0.275,-0.002,0.001,0.229,-0.007,0.024
0.323,0.361,0.556,0.006,0.139,-0.016,0.001
0.315,0.291,0.488,0.006,0.214,-0.006,0.022
0.115,0.041,0.246,-0.007,0.022,-0.008,-0.006
0.284,0.268,-0.007,0.019,0.223,-0.001,0.027
0.193,0.264,0.389,0.011,0.064,-0.018,0.034
