name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
aho-corasick,0.650913677,1,0.85862069,580,498,31,499,5.344827586,15.877,-0.152428027,6.363028104,6.210600077,3.433987204,6.212606096,1.676129287,2.764871521,-1.164658635,-0.001724138,-0.002008032,-0.032258065,-0.002004008,-0.187096774,-0.062984191
apache-httpclient,0.969226121,1,0.44341995,20281,8993,869,26604,4.28479858,16.0665,-0.81323799,9.917439766,9.104201776,6.767343125,10.18881686,1.455073545,2.776736359,-2.255198488,-4.93E-05,-0.000111198,-0.001150748,-3.76E-05,-0.233383199,-0.06224131
apache-mina,0.968551259,1,0.290643697,19388,5635,197,26869,1.016092428,219.425,-1.23565717,9.872409597,8.636752426,5.283203729,10.19872848,0.015964318,5.391010488,-3.440638864,-5.16E-05,-0.000177462,-0.005076142,-3.72E-05,-0.984162437,-0.004557366
ashot,0.684066411,1,0.574188563,1294,743,42,1247,3.245749614,428.1745,-0.55479743,7.165493475,6.610696045,3.737669618,7.128495946,1.177346329,6.059530823,-1.741588156,-0.000772798,-0.001345895,-0.023809524,-0.000801925,-0.308095238,-0.002335496
assertj-core,0.970060235,1,0.856630503,11153,9554,5737,14128,51.43907469,433.5555,-0.154748605,9.319463799,9.164715194,8.654691705,9.555913923,3.940398092,6.072019816,-1.167364455,-8.97E-05,-0.000104668,-0.000174307,-7.08E-05,-0.019440474,-0.00230651
brickhouse,0.677872062,1,0.049622782,9411,467,30,8831,0.318775901,98.3525,-3.003305239,9.149634497,6.146329258,3.401197382,9.086023537,-1.143266929,4.588557964,-20.15203426,-0.000106259,-0.002141328,-0.033333333,-0.000113237,-3.137,-0.01016751
cassandra-reaper,0.883214304,1,0.245934551,4981,1225,104,5444,2.08793415,100.6575,-1.40268983,8.513385953,7.110696123,4.644390899,8.602269364,0.736175132,4.611723665,-4.066122449,-0.000200763,-0.000816327,-0.009615385,-0.000183688,-0.478942308,-0.009934679
clj-ds,0.899137521,1,0.069743859,26626,1857,19,15521,0.071358822,59.374,-2.6629259,10.18964346,7.526717561,2.944438979,9.649949225,-2.640034296,4.08385642,-14.33817986,-3.76E-05,-0.000538503,-0.052631579,-6.44E-05,-14.01368421,-0.016842389
common-collection,0.9598942,1,0.440952631,15242,6721,13677,23713,89.73231859,21.725,-0.818817822,9.631810054,8.812992232,9.523470869,10.0737787,4.496831001,3.078463671,-2.267817289,-6.56E-05,-0.000148787,-7.31E-05,-4.22E-05,-0.011144257,-0.046029919
common-io,0.967669858,1,0.708002065,9685,6857,965,8839,9.963861642,21.2945,-0.345308269,9.178333576,8.833025307,6.872128101,9.086929027,2.298964711,3.058448823,-1.412425259,-0.000103252,-0.000145836,-0.001036269,-0.000113135,-0.100362694,-0.046960483
commons-compress,0.981020792,1,0.567030614,23355,13243,491,17888,2.102333547,2887.2465,-0.567341983,10.05856637,9.49122439,6.196444128,9.791885376,0.743047941,7.968058559,-1.763573208,-4.28E-05,-7.55E-05,-0.00203666,-5.59E-05,-0.475661914,-0.000346351
compress,0.930111984,1,0.474886641,5734,2723,43,4387,0.749912801,2807.782,-0.744679154,8.654168646,7.909489493,3.761200116,8.386400901,-0.287798345,7.940150127,-2.1057657,-0.000174398,-0.000367242,-0.023255814,-0.000227946,-1.333488372,-0.000356153
computoser,0.883155292,1,0.049948683,14615,730,12,11626,0.082107424,1403.533,-2.996759143,9.589803678,6.593044534,2.48490665,9.360999248,-2.499726842,7.246747908,-20.02054795,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.17916667,-0.000712488
Confucius,0.626088536,1,0.927419355,620,575,84,503,13.5483871,15.4745,-0.075349437,6.429719478,6.354370041,4.430816799,6.22059017,2.606267507,2.739193508,-1.07826087,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809524,-0.064622443
cors-filter,0.567497397,1,0.829411765,510,423,72,588,14.11764706,15.036,-0.187038547,6.234410726,6.047372179,4.276666119,6.376726948,2.647425579,2.710447326,-1.205673759,-0.001960784,-0.002364066,-0.013888889,-0.00170068,-0.070833333,-0.06650705
cucumber-reporting,0.855436247,1,0.653787299,2614,1709,124,2245,4.743687835,51.9575,-0.424973211,7.868636894,7.443663683,4.820281566,7.7164608,1.556814857,3.950426077,-1.529549444,-0.000382555,-0.000585138,-0.008064516,-0.000445434,-0.210806452,-0.0192465
DiskLruCache,0.588582402,1,0.575498575,1053,606,61,780,5.79297246,51.9225,-0.552518526,6.959398512,6.406879986,4.110873864,6.65929392,1.756645538,3.949752222,-1.737623762,-0.000949668,-0.001650165,-0.016393443,-0.001282051,-0.172622951,-0.019259473
DotCi,0.897469347,1,0.22022715,9245,2036,221,10038,2.390481341,31.929,-1.513095766,9.131838144,7.618742378,5.398162702,9.21413317,0.871494744,3.463514688,-4.540766208,-0.000108167,-0.000491159,-0.004524887,-9.96E-05,-0.418325792,-0.03131949
dropwizard-guice,0.344248165,1,0.509933775,302,154,15,381,4.966887417,10.061,-0.673474415,5.710427017,5.036952602,2.708050201,5.942799375,1.60279337,2.308666563,-1.961038961,-0.003311258,-0.006493506,-0.066666667,-0.002624672,-0.201333333,-0.099393698
efflux,0.839652169,1,0.419014085,2840,1190,41,3529,1.443661972,10.068,-0.869850745,7.951559331,7.081708586,3.713572067,8.168769824,0.367182922,2.309362077,-2.386554622,-0.000352113,-0.000840336,-0.024390244,-0.000283366,-0.692682927,-0.099324593
evernote-sdk-java,0.367034036,1,0.002102199,74208,156,14,2370,0.01886589,6744.297,-6.164771233,11.21462724,5.049856007,2.63905733,7.770645234,-3.970399724,8.816452538,-475.6923077,-1.35E-05,-0.006410256,-0.071428571,-0.000421941,-53.00571429,-0.000148273
ews-java-api,0.966204001,1,0.058379099,31501,1839,99,45313,0.314275737,7105.7925,-2.840797346,10.35777457,7.516977225,4.59511985,10.72134925,-1.157484534,8.868665575,-17.12941816,-3.17E-05,-0.000543774,-0.01010101,-2.21E-05,-3.181919192,-0.00014073
exp4j,0.652887389,1,0.870761356,1563,1361,284,1086,18.17018554,3658.665,-0.138387328,7.35436233,7.215975003,5.648974238,6.9902565,2.899782094,8.204853606,-1.148420279,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035211,-0.000273324
expiringmap,0.874660876,1,0.560819462,781,438,26,802,3.329065301,482.486,-0.578356239,6.66057515,6.08221891,3.258096538,6.687108608,1.202691574,6.178951905,-1.783105023,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300384615,-0.002072599
flip-tables,0.38730021,1,0.875,336,294,21,170,6.25,486.538,-0.133531393,5.81711116,5.683579767,3.044522438,5.135798437,1.832581464,6.187315008,-1.142857143,-0.00297619,-0.003401361,-0.047619048,-0.005882353,-0.16,-0.002055338
gdx-artemis,0.799968046,1,0.570581257,1686,962,35,1951,2.075919336,244.8335,-0.561099688,7.430114139,6.869014451,3.555348061,7.576097341,0.730404109,5.500578388,-1.752598753,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481714286,-0.004084408
gelfj,0.56241932,1,0.348560079,1007,351,28,1120,2.780536246,247.8325,-1.053944669,6.914730893,5.860786223,3.33220451,7.021083964,1.022643803,5.512753115,-2.868945869,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359642857,-0.004034983
GenericTree,0.530620152,1,0.811320755,265,215,49,234,18.49056604,136.606,-0.209091798,5.579729826,5.370638028,3.891820298,5.455321115,2.917260658,4.91710087,-1.23255814,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081633,-0.007320323
geocluster-facet,0.616492373,1,0.488448845,606,296,15,553,2.475247525,22.09,-0.716520532,6.406879986,5.690359454,2.708050201,6.315358002,0.906340401,3.095125017,-2.047297297,-0.001650165,-0.003378378,-0.066666667,-0.001808318,-0.404,-0.045269353
geohash-java,0.843134286,1,0.685119048,1680,1151,56,920,3.333333333,21.8285,-0.378162664,7.426549072,7.048386409,4.025351691,6.82437367,1.203972804,3.083216455,-1.459600348,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.3,-0.045811668
geojson-jackson,0.52033701,1,0.419804742,717,301,44,654,6.136680614,6.4265,-0.867965576,6.575075841,5.707110265,3.784189634,6.483107351,1.814283979,1.860430067,-2.382059801,-0.0013947,-0.003322259,-0.022727273,-0.001529052,-0.162954545,-0.155605695
glacieruploader,0.516762584,1,0.305825243,824,252,22,987,2.669902913,6.5415,-1.184741442,6.71417053,5.529429088,3.091042453,6.894670039,0.982042109,1.878166497,-3.26984127,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545455,-0.152870137
greplin-bloom-filter,0.57167748,1,0.578313253,830,480,16,674,1.927710843,24.9355,-0.547639597,6.721425701,6.173786104,2.772588722,6.513230111,0.656333207,3.216292491,-1.729166667,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.51875,-0.040103467
greplin-lucene-utils,0.751083804,1,0.151653364,2631,399,14,3476,0.532117066,42.2995,-1.886157864,7.875119281,5.988961417,2.63905733,8.153637486,-0.630891765,3.744775266,-6.593984962,-0.000380084,-0.002506266,-0.071428571,-0.000287687,-1.879285714,-0.023640941
gson-fire,0.698266282,1,0.688741722,755,520,36,895,4.768211921,42.5215,-0.372888938,6.626717749,6.253828812,3.583518938,6.796823718,1.561971375,3.75000983,-1.451923077,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722222,-0.023517515
