name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
aho-corasick,0.806792214,1,0.85862069,580,498,31,499,5.344827586,15.877,-0.152428027,6.363028104,6.210600077,3.433987204,6.212606096,1.676129287,2.764871521,-1.164658635,-0.001724138,-0.002008032,-0.032258065,-0.002004008,-0.187096774,-0.062984191
apache-httpclient,0.984492824,1,0.44341995,20281,8993,869,26604,4.28479858,16.0665,-0.81323799,9.917439766,9.104201776,6.767343125,10.18881686,1.455073545,2.776736359,-2.255198488,-4.93E-05,-0.000111198,-0.001150748,-3.76E-05,-0.233383199,-0.06224131
apache-mina,0.984150018,1,0.290643697,19388,5635,197,26869,1.016092428,219.425,-1.23565717,9.872409597,8.636752426,5.283203729,10.19872848,0.015964318,5.391010488,-3.440638864,-5.16E-05,-0.000177462,-0.005076142,-3.72E-05,-0.984162437,-0.004557366
ashot,0.827083074,1,0.574188563,1294,743,42,1247,3.245749614,428.1745,-0.55479743,7.165493475,6.610696045,3.737669618,7.128495946,1.177346329,6.059530823,-1.741588156,-0.000772798,-0.001345895,-0.023809524,-0.000801925,-0.308095238,-0.002335496
assertj-core,0.98491636,1,0.856630503,11153,9554,5737,14128,51.43907469,433.5555,-0.154748605,9.319463799,9.164715194,8.654691705,9.555913923,3.940398092,6.072019816,-1.167364455,-8.97E-05,-0.000104668,-0.000174307,-7.08E-05,-0.019440474,-0.00230651
brickhouse,0.823329862,1,0.049622782,9411,467,30,8831,0.318775901,98.3525,-3.003305239,9.149634497,6.146329258,3.401197382,9.086023537,-1.143266929,4.588557964,-20.15203426,-0.000106259,-0.002141328,-0.033333333,-0.000113237,-3.137,-0.01016751
cassandra-reaper,0.93979482,1,0.245934551,4981,1225,104,5444,2.08793415,100.6575,-1.40268983,8.513385953,7.110696123,4.644390899,8.602269364,0.736175132,4.611723665,-4.066122449,-0.000200763,-0.000816327,-0.009615385,-0.000183688,-0.478942308,-0.009934679
clj-ds,0.948228623,1,0.069743859,26626,1857,19,15521,0.071358822,59.374,-2.6629259,10.18964346,7.526717561,2.944438979,9.649949225,-2.640034296,4.08385642,-14.33817986,-3.76E-05,-0.000538503,-0.052631579,-6.44E-05,-14.01368421,-0.016842389
common-collection,0.979741905,1,0.440952631,15242,6721,13677,23713,89.73231859,21.725,-0.818817822,9.631810054,8.812992232,9.523470869,10.0737787,4.496831001,3.078463671,-2.267817289,-6.56E-05,-0.000148787,-7.31E-05,-4.22E-05,-0.011144257,-0.046029919
common-io,0.983702119,1,0.708002065,9685,6857,965,8839,9.963861642,21.2945,-0.345308269,9.178333576,8.833025307,6.872128101,9.086929027,2.298964711,3.058448823,-1.412425259,-0.000103252,-0.000145836,-0.001036269,-0.000113135,-0.100362694,-0.046960483
commons-compress,0.990464937,1,0.567030614,23355,13243,491,17888,2.102333547,2887.2465,-0.567341983,10.05856637,9.49122439,6.196444128,9.791885376,0.743047941,7.968058559,-1.763573208,-4.28E-05,-7.55E-05,-0.00203666,-5.59E-05,-0.475661914,-0.000346351
compress,0.964423135,1,0.474886641,5734,2723,43,4387,0.749912801,2807.782,-0.744679154,8.654168646,7.909489493,3.761200116,8.386400901,-0.287798345,7.940150127,-2.1057657,-0.000174398,-0.000367242,-0.023255814,-0.000227946,-1.333488372,-0.000356153
computoser,0.939763423,1,0.049948683,14615,730,12,11626,0.082107424,1403.533,-2.996759143,9.589803678,6.593044534,2.48490665,9.360999248,-2.499726842,7.246747908,-20.02054795,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.17916667,-0.000712488
Confucius,0.791257566,1,0.927419355,620,575,84,503,13.5483871,15.4745,-0.075349437,6.429719478,6.354370041,4.430816799,6.22059017,2.606267507,2.739193508,-1.07826087,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809524,-0.064622443
cors-filter,0.753324231,1,0.829411765,510,423,72,588,14.11764706,15.036,-0.187038547,6.234410726,6.047372179,4.276666119,6.376726948,2.647425579,2.710447326,-1.205673759,-0.001960784,-0.002364066,-0.013888889,-0.00170068,-0.070833333,-0.06650705
cucumber-reporting,0.924897966,1,0.653787299,2614,1709,124,2245,4.743687835,51.9575,-0.424973211,7.868636894,7.443663683,4.820281566,7.7164608,1.556814857,3.950426077,-1.529549444,-0.000382555,-0.000585138,-0.008064516,-0.000445434,-0.210806452,-0.0192465
DiskLruCache,0.767191242,1,0.575498575,1053,606,61,780,5.79297246,51.9225,-0.552518526,6.959398512,6.406879986,4.110873864,6.65929392,1.756645538,3.949752222,-1.737623762,-0.000949668,-0.001650165,-0.016393443,-0.001282051,-0.172622951,-0.019259473
DotCi,0.947348588,1,0.22022715,9245,2036,221,10038,2.390481341,31.929,-1.513095766,9.131838144,7.618742378,5.398162702,9.21413317,0.871494744,3.463514688,-4.540766208,-0.000108167,-0.000491159,-0.004524887,-9.96E-05,-0.418325792,-0.03131949
dropwizard-guice,0.586726653,1,0.509933775,302,154,15,381,4.966887417,10.061,-0.673474415,5.710427017,5.036952602,2.708050201,5.942799375,1.60279337,2.308666563,-1.961038961,-0.003311258,-0.006493506,-0.066666667,-0.002624672,-0.201333333,-0.099393698
efflux,0.916325362,1,0.419014085,2840,1190,41,3529,1.443661972,10.068,-0.869850745,7.951559331,7.081708586,3.713572067,8.168769824,0.367182922,2.309362077,-2.386554622,-0.000352113,-0.000840336,-0.024390244,-0.000283366,-0.692682927,-0.099324593
evernote-sdk-java,0.60583334,1,0.002102199,74208,156,14,2370,0.01886589,6744.297,-6.164771233,11.21462724,5.049856007,2.63905733,7.770645234,-3.970399724,8.816452538,-475.6923077,-1.35E-05,-0.006410256,-0.071428571,-0.000421941,-53.00571429,-0.000148273
ews-java-api,0.982956765,1,0.058379099,31501,1839,99,45313,0.314275737,7105.7925,-2.840797346,10.35777457,7.516977225,4.59511985,10.72134925,-1.157484534,8.868665575,-17.12941816,-3.17E-05,-0.000543774,-0.01010101,-2.21E-05,-3.181919192,-0.00014073
exp4j,0.808014474,1,0.870761356,1563,1361,284,1086,18.17018554,3658.665,-0.138387328,7.35436233,7.215975003,5.648974238,6.9902565,2.899782094,8.204853606,-1.148420279,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035211,-0.000273324
expiringmap,0.93523306,1,0.560819462,781,438,26,802,3.329065301,482.486,-0.578356239,6.66057515,6.08221891,3.258096538,6.687108608,1.202691574,6.178951905,-1.783105023,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300384615,-0.002072599
flip-tables,0.622334484,1,0.875,336,294,21,170,6.25,486.538,-0.133531393,5.81711116,5.683579767,3.044522438,5.135798437,1.832581464,6.187315008,-1.142857143,-0.00297619,-0.003401361,-0.047619048,-0.005882353,-0.16,-0.002055338
gdx-artemis,0.894409328,1,0.570581257,1686,962,35,1951,2.075919336,244.8335,-0.561099688,7.430114139,6.869014451,3.555348061,7.576097341,0.730404109,5.500578388,-1.752598753,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481714286,-0.004084408
gelfj,0.749946211,1,0.348560079,1007,351,28,1120,2.780536246,247.8325,-1.053944669,6.914730893,5.860786223,3.33220451,7.021083964,1.022643803,5.512753115,-2.868945869,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359642857,-0.004034983
GenericTree,0.728436787,1,0.811320755,265,215,49,234,18.49056604,136.606,-0.209091798,5.579729826,5.370638028,3.891820298,5.455321115,2.917260658,4.91710087,-1.23255814,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081633,-0.007320323
geocluster-facet,0.785170283,1,0.488448845,606,296,15,553,2.475247525,22.09,-0.716520532,6.406879986,5.690359454,2.708050201,6.315358002,0.906340401,3.095125017,-2.047297297,-0.001650165,-0.003378378,-0.066666667,-0.001808318,-0.404,-0.045269353
geohash-java,0.91822344,1,0.685119048,1680,1151,56,920,3.333333333,21.8285,-0.378162664,7.426549072,7.048386409,4.025351691,6.82437367,1.203972804,3.083216455,-1.459600348,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.3,-0.045811668
geojson-jackson,0.721343892,1,0.419804742,717,301,44,654,6.136680614,6.4265,-0.867965576,6.575075841,5.707110265,3.784189634,6.483107351,1.814283979,1.860430067,-2.382059801,-0.0013947,-0.003322259,-0.022727273,-0.001529052,-0.162954545,-0.155605695
glacieruploader,0.718862006,1,0.305825243,824,252,22,987,2.669902913,6.5415,-1.184741442,6.71417053,5.529429088,3.091042453,6.894670039,0.982042109,1.878166497,-3.26984127,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545455,-0.152870137
greplin-bloom-filter,0.756093566,1,0.578313253,830,480,16,674,1.927710843,24.9355,-0.547639597,6.721425701,6.173786104,2.772588722,6.513230111,0.656333207,3.216292491,-1.729166667,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.51875,-0.040103467
greplin-lucene-utils,0.866650913,1,0.151653364,2631,399,14,3476,0.532117066,42.2995,-1.886157864,7.875119281,5.988961417,2.63905733,8.153637486,-0.630891765,3.744775266,-6.593984962,-0.000380084,-0.002506266,-0.071428571,-0.000287687,-1.879285714,-0.023640941
gson-fire,0.835623289,1,0.688741722,755,520,36,895,4.768211921,42.5215,-0.372888938,6.626717749,6.253828812,3.583518938,6.796823718,1.561971375,3.75000983,-1.451923077,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722222,-0.023517515
hashids-java,0.637836465,1,0.631775701,535,338,11,258,2.056074766,36.7825,-0.459220851,6.282266747,5.823045895,2.397895273,5.552959585,0.720798712,3.605022189,-1.582840237,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486363636,-0.027186842
HTTP-Proxy-Servlet,0.732672036,1,0.620578778,622,386,26,493,4.180064309,37.184,-0.477102723,6.432940093,5.955837369,3.258096538,6.200509174,1.430326631,3.615878561,-1.611398964,-0.001607717,-0.002590674,-0.038461538,-0.002028398,-0.239230769,-0.026893287
IClojure,0.570099937,1,0.085144928,1104,94,12,962,1.086956522,49.4855,-2.463400445,7.006695227,4.543294782,2.48490665,6.869014451,0.083381609,3.901679697,-11.74468085,-0.000905797,-0.010638298,-0.083333333,-0.001039501,-0.92,-0.02020794
invokebinder,0.852407394,1,0.447789878,1561,699,107,1623,6.854580397,62.2145,-0.803431178,7.353081921,6.549650742,4.672828834,7.392031568,1.9249171,4.130588092,-2.233190272,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.14588785,-0.016073423
jackson-dataformat-csv,0.937660532,1,0.317733628,6795,2159,100,5242,1.471670346,63.799,-1.146541896,8.823942327,7.677400431,4.605170186,8.564458384,0.386398045,4.155737516,-3.147290412,-0.000147167,-0.000463177,-0.01,-0.000190767,-0.6795,-0.015674227
jackson-datatype-guava,0.892319487,1,0.516819572,1635,845,73,2217,4.464831804,30.1155,-0.660061456,7.399398083,6.739336627,4.290459441,7.70391021,1.496231544,3.405039989,-1.934911243,-0.000611621,-0.001183432,-0.01369863,-0.00045106,-0.223972603,-0.033205492
jackson-datatype-joda,0.864254589,1,0.556930693,1212,675,73,1543,6.02310231,30.2365,-0.585314476,7.100027167,6.514712691,4.290459441,7.341483852,1.795602461,3.409049804,-1.795555556,-0.000825083,-0.001481481,-0.01369863,-0.000648088,-0.166027397,-0.033072611
jackson-module-afterburner,0.936761175,1,0.545913819,3365,1837,118,3343,3.506686478,69.955,-0.605294157,8.121183242,7.515889085,4.770684624,8.114623886,1.254671568,4.247852178,-1.831790964,-0.000297177,-0.000544366,-0.008474576,-0.000299133,-0.285169492,-0.014294904
JActor,0.522642599,1,0.095860566,1377,132,60,2413,4.357298475,112.864,-2.344860576,7.227662499,4.882801923,4.094344562,7.788626066,1.471852249,4.726183554,-10.43181818,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.2295,-0.008860221
JAdventure,0.880371813,1,0.144958807,5098,739,35,3785,0.686543743,111.6535,-1.931305664,8.536603585,6.605297921,3.555348061,8.238801166,-0.376085337,4.715400326,-6.898511502,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456571429,-0.00895628
java-jwt,0.717396705,1,0.787280702,456,359,54,422,11.84210526,7.857,-0.239170421,6.12249281,5.883322388,3.988984047,6.045005314,2.471661423,2.061404854,-1.270194986,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444444,-0.127275041
javapoet,0.93885214,1,0.771390728,3775,2912,152,2454,4.026490066,8.027,-0.259560252,8.236155662,7.976595409,5.023880521,7.805474625,1.392895045,2.082810859,-1.29635989,-0.000264901,-0.000343407,-0.006578947,-0.000407498,-0.248355263,-0.124579544
java-uuid-generator,0.896483675,1,0.394310937,2039,804,45,1764,2.206964198,14.577,-0.930615501,7.620214771,6.689599269,3.80666249,7.475339237,0.791617905,2.679444944,-2.536069652,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453111111,-0.068601221
JavaVerbalExpressions,0.752365488,1,0.786967419,399,314,69,326,17.29323308,21.7135,-0.239568431,5.988961417,5.749392986,4.234106505,5.786897381,2.850315274,3.077934187,-1.270700637,-0.002506266,-0.003184713,-0.014492754,-0.003067485,-0.057826087,-0.046054298
jenkins-ansicolor-plugin,0.615857898,1,0.413857678,534,221,26,500,4.868913858,21.088,-0.882233137,6.280395839,5.398162702,3.258096538,6.214608098,1.582870885,3.048704158,-2.416289593,-0.001872659,-0.004524887,-0.038461538,-0.002,-0.205384615,-0.047420334
jgrapht,0.981639971,1,0.541019956,10373,5612,152,12511,1.465342717,7.445,-0.614299114,9.246961555,8.632662441,5.023880521,9.434363536,0.382089151,2.007542666,-1.848360656,-9.64E-05,-0.00017819,-0.006578947,-7.99E-05,-0.682434211,-0.134318334
jInstagram,0.600412667,1,0.076989996,2299,177,74,3476,3.218790779,7.4095,-2.564079792,7.740229525,5.176149733,4.304065093,8.153637486,1.169005754,2.002762961,-12.98870057,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310675676,-0.134961873
jitescript,0.607179945,1,0.219973009,1482,326,14,1397,0.944669366,29.4565,-1.514250424,7.301147806,5.786897381,2.63905733,7.242082359,-0.05692029,3.382914599,-4.54601227,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058571429,-0.033948365
jmeter-maven-plugin,0.804986741,1,0.264614012,2241,593,57,1297,2.543507363,49.678,-1.329483075,7.714677474,6.385194399,4.043051268,7.167809184,0.93354398,3.905562179,-3.779089376,-0.000446229,-0.001686341,-0.01754386,-0.00077101,-0.393157895,-0.020129635
jmxutils,0.931889865,1,0.564183835,1893,1068,754,2284,39.83095615,50.256,-0.572375132,7.545918151,6.97354302,6.625392368,7.733683571,3.684644403,3.917129943,-1.77247191,-0.000528262,-0.00093633,-0.00132626,-0.000437828,-0.025106101,-0.019898122
jPopulator,0.849545416,1,0.509337861,1178,600,70,969,5.942275042,144.149,-0.674643709,7.071573364,6.396929655,4.248495242,6.876264612,1.782092064,4.970847487,-1.963333333,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285714,-0.006937266
jprotobuf,0.943524307,1,0.337188612,4496,1516,49,3015,1.089857651,139.3415,-1.087112825,8.410943392,7.323830566,3.891820298,8.011355109,0.086047093,4.936927755,-2.965699208,-0.00022242,-0.000659631,-0.020408163,-0.000331675,-0.91755102,-0.007176613
