name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
exp4j,0.616640582,1,0.870761356,1563,1361,284,1086,18.17018554,3658.665,-0.138387328,7.35436233,7.215975003,5.648974238,6.9902565,2.899782094,8.204853606,-1.148420279,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035211,-0.000273324
expiringmap,0.742813379,1,0.560819462,781,438,26,802,3.329065301,482.486,-0.578356239,6.66057515,6.08221891,3.258096538,6.687108608,1.202691574,6.178951905,-1.783105023,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300384615,-0.002072599
flip-tables,0.486321339,1,0.875,336,294,21,170,6.25,486.538,-0.133531393,5.81711116,5.683579767,3.044522438,5.135798437,1.832581464,6.187315008,-1.142857143,-0.00297619,-0.003401361,-0.047619048,-0.005882353,-0.16,-0.002055338
gdx-artemis,0.746735855,1,0.570581257,1686,962,35,1951,2.075919336,244.8335,-0.561099688,7.430114139,6.869014451,3.555348061,7.576097341,0.730404109,5.500578388,-1.752598753,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481714286,-0.004084408
gelfj,0.604642618,1,0.348560079,1007,351,28,1120,2.780536246,247.8325,-1.053944669,6.914730893,5.860786223,3.33220451,7.021083964,1.022643803,5.512753115,-2.868945869,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359642857,-0.004034983
GenericTree,0.592772051,1,0.811320755,265,215,49,234,18.49056604,136.606,-0.209091798,5.579729826,5.370638028,3.891820298,5.455321115,2.917260658,4.91710087,-1.23255814,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081633,-0.007320323
geocluster-facet,0.64066953,1,0.488448845,606,296,15,553,2.475247525,22.09,-0.716520532,6.406879986,5.690359454,2.708050201,6.315358002,0.906340401,3.095125017,-2.047297297,-0.001650165,-0.003378378,-0.066666667,-0.001808318,-0.404,-0.045269353
geohash-java,0.768965257,1,0.685119048,1680,1151,56,920,3.333333333,21.8285,-0.378162664,7.426549072,7.048386409,4.025351691,6.82437367,1.203972804,3.083216455,-1.459600348,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.3,-0.045811668
geojson-jackson,0.55856809,1,0.419804742,717,301,44,654,6.136680614,6.4265,-0.867965576,6.575075841,5.707110265,3.784189634,6.483107351,1.814283979,1.860430067,-2.382059801,-0.0013947,-0.003322259,-0.022727273,-0.001529052,-0.162954545,-0.155605695
glacieruploader,0.588169459,1,0.305825243,824,252,22,987,2.669902913,6.5415,-1.184741442,6.71417053,5.529429088,3.091042453,6.894670039,0.982042109,1.878166497,-3.26984127,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545455,-0.152870137
greplin-bloom-filter,0.537155752,1,0.578313253,830,480,16,674,1.927710843,24.9355,-0.547639597,6.721425701,6.173786104,2.772588722,6.513230111,0.656333207,3.216292491,-1.729166667,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.51875,-0.040103467
greplin-lucene-utils,0.628425479,1,0.151653364,2631,399,14,3476,0.532117066,42.2995,-1.886157864,7.875119281,5.988961417,2.63905733,8.153637486,-0.630891765,3.744775266,-6.593984962,-0.000380084,-0.002506266,-0.071428571,-0.000287687,-1.879285714,-0.023640941
gson-fire,0.648550048,1,0.688741722,755,520,36,895,4.768211921,42.5215,-0.372888938,6.626717749,6.253828812,3.583518938,6.796823718,1.561971375,3.75000983,-1.451923077,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722222,-0.023517515
hashids-java,0.468546548,1,0.631775701,535,338,11,258,2.056074766,36.7825,-0.459220851,6.282266747,5.823045895,2.397895273,5.552959585,0.720798712,3.605022189,-1.582840237,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486363636,-0.027186842
HTTP-Proxy-Servlet,0.54307299,1,0.620578778,622,386,26,493,4.180064309,37.184,-0.477102723,6.432940093,5.955837369,3.258096538,6.200509174,1.430326631,3.615878561,-1.611398964,-0.001607717,-0.002590674,-0.038461538,-0.002028398,-0.239230769,-0.026893287
IClojure,0.463584676,1,0.085144928,1104,94,12,962,1.086956522,49.4855,-2.463400445,7.006695227,4.543294782,2.48490665,6.869014451,0.083381609,3.901679697,-11.74468085,-0.000905797,-0.010638298,-0.083333333,-0.001039501,-0.92,-0.02020794
invokebinder,0.694922368,1,0.447789878,1561,699,107,1623,6.854580397,62.2145,-0.803431178,7.353081921,6.549650742,4.672828834,7.392031568,1.9249171,4.130588092,-2.233190272,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.14588785,-0.016073423
jackson-dataformat-csv,0.784427252,1,0.317733628,6795,2159,100,5242,1.471670346,63.799,-1.146541896,8.823942327,7.677400431,4.605170186,8.564458384,0.386398045,4.155737516,-3.147290412,-0.000147167,-0.000463177,-0.01,-0.000190767,-0.6795,-0.015674227
jackson-datatype-guava,0.712999824,1,0.516819572,1635,845,73,2217,4.464831804,30.1155,-0.660061456,7.399398083,6.739336627,4.290459441,7.70391021,1.496231544,3.405039989,-1.934911243,-0.000611621,-0.001183432,-0.01369863,-0.00045106,-0.223972603,-0.033205492
jackson-datatype-joda,0.692271837,1,0.556930693,1212,675,73,1543,6.02310231,30.2365,-0.585314476,7.100027167,6.514712691,4.290459441,7.341483852,1.795602461,3.409049804,-1.795555556,-0.000825083,-0.001481481,-0.01369863,-0.000648088,-0.166027397,-0.033072611
jackson-module-afterburner,0.749545335,1,0.545913819,3365,1837,118,3343,3.506686478,69.955,-0.605294157,8.121183242,7.515889085,4.770684624,8.114623886,1.254671568,4.247852178,-1.831790964,-0.000297177,-0.000544366,-0.008474576,-0.000299133,-0.285169492,-0.014294904
JActor,0.412392665,1,0.095860566,1377,132,60,2413,4.357298475,112.864,-2.344860576,7.227662499,4.882801923,4.094344562,7.788626066,1.471852249,4.726183554,-10.43181818,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.2295,-0.008860221
JAdventure,0.733689253,1,0.144958807,5098,739,35,3785,0.686543743,111.6535,-1.931305664,8.536603585,6.605297921,3.555348061,8.238801166,-0.376085337,4.715400326,-6.898511502,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456571429,-0.00895628
java-jwt,0.555232607,1,0.787280702,456,359,54,422,11.84210526,7.857,-0.239170421,6.12249281,5.883322388,3.988984047,6.045005314,2.471661423,2.061404854,-1.270194986,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444444,-0.127275041
javapoet,0.769597681,1,0.771390728,3775,2912,152,2454,4.026490066,8.027,-0.259560252,8.236155662,7.976595409,5.023880521,7.805474625,1.392895045,2.082810859,-1.29635989,-0.000264901,-0.000343407,-0.006578947,-0.000407498,-0.248355263,-0.124579544
java-uuid-generator,0.714639376,1,0.394310937,2039,804,45,1764,2.206964198,14.577,-0.930615501,7.620214771,6.689599269,3.80666249,7.475339237,0.791617905,2.679444944,-2.536069652,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453111111,-0.068601221
JavaVerbalExpressions,0.582206672,1,0.786967419,399,314,69,326,17.29323308,21.7135,-0.239568431,5.988961417,5.749392986,4.234106505,5.786897381,2.850315274,3.077934187,-1.270700637,-0.002506266,-0.003184713,-0.014492754,-0.003067485,-0.057826087,-0.046054298
jenkins-ansicolor-plugin,0.465006086,1,0.413857678,534,221,26,500,4.868913858,21.088,-0.882233137,6.280395839,5.398162702,3.258096538,6.214608098,1.582870885,3.048704158,-2.416289593,-0.001872659,-0.004524887,-0.038461538,-0.002,-0.205384615,-0.047420334
jgrapht,0.878340432,1,0.541019956,10373,5612,152,12511,1.465342717,7.445,-0.614299114,9.246961555,8.632662441,5.023880521,9.434363536,0.382089151,2.007542666,-1.848360656,-9.64E-05,-0.00017819,-0.006578947,-7.99E-05,-0.682434211,-0.134318334
jInstagram,0.492093855,1,0.076989996,2299,177,74,3476,3.218790779,7.4095,-2.564079792,7.740229525,5.176149733,4.304065093,8.153637486,1.169005754,2.002762961,-12.98870057,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310675676,-0.134961873
jitescript,0.496456428,1,0.219973009,1482,326,14,1397,0.944669366,29.4565,-1.514250424,7.301147806,5.786897381,2.63905733,7.242082359,-0.05692029,3.382914599,-4.54601227,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058571429,-0.033948365
jmeter-maven-plugin,0.642178884,1,0.264614012,2241,593,57,1297,2.543507363,49.678,-1.329483075,7.714677474,6.385194399,4.043051268,7.167809184,0.93354398,3.905562179,-3.779089376,-0.000446229,-0.001686341,-0.01754386,-0.00077101,-0.393157895,-0.020129635
jmxutils,0.758059652,1,0.564183835,1893,1068,754,2284,39.83095615,50.256,-0.572375132,7.545918151,6.97354302,6.625392368,7.733683571,3.684644403,3.917129943,-1.77247191,-0.000528262,-0.00093633,-0.00132626,-0.000437828,-0.025106101,-0.019898122
jPopulator,0.682855574,1,0.509337861,1178,600,70,969,5.942275042,144.149,-0.674643709,7.071573364,6.396929655,4.248495242,6.876264612,1.782092064,4.970847487,-1.963333333,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285714,-0.006937266
jprotobuf,0.736668837,1,0.337188612,4496,1516,49,3015,1.089857651,139.3415,-1.087112825,8.410943392,7.323830566,3.891820298,8.011355109,0.086047093,4.936927755,-2.965699208,-0.00022242,-0.000659631,-0.020408163,-0.000331675,-0.91755102,-0.007176613
jsemver,0.703389759,1,0.833623188,1725,1438,202,1441,11.71014493,78.219,-0.181973791,7.452982329,7.271008538,5.308267697,7.273092596,2.460455554,4.359512585,-1.199582754,-0.00057971,-0.00069541,-0.004950495,-0.000693963,-0.08539604,-0.012784618
jumblr,0.703389403,1,0.516047297,1184,611,103,1494,8.699324324,13.5825,-0.661556856,7.076653815,6.415096959,4.634728988,7.309212366,2.163245359,2.608782199,-1.937806874,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951456,-0.073624149
kafka-spout,0.616049178,1,0.820754717,424,348,51,477,12.02830189,13.6385,-0.197530975,6.049733455,5.85220248,3.931825633,6.167516491,2.487262363,2.612896676,-1.218390805,-0.002358491,-0.002873563,-0.019607843,-0.002096436,-0.083137255,-0.073321846
kryo-serializers,0.751823629,1,0.627602159,1297,814,154,1564,11.87355436,11.0895,-0.465848818,7.167809184,6.701960366,5.036952602,7.355001921,2.474313604,2.405998715,-1.593366093,-0.00077101,-0.001228501,-0.006493506,-0.000639386,-0.084220779,-0.090175391
la4j,0.850753317,1,0.549356865,13372,7346,758,9096,5.668561173,10.803,-0.599007021,9.500918248,8.901911226,6.630683386,9.115590035,1.734935324,2.379823873,-1.820310373,-7.48E-05,-0.000136129,-0.001319261,-0.000109938,-0.176411609,-0.09256688
LastCalc,0.801080448,1,0.391409194,6635,2597,34,4594,0.512434062,14.474,-0.938001735,8.800113947,7.862112212,3.526360525,8.432506383,-0.668583236,2.672353936,-2.554871005,-0.000150716,-0.00038506,-0.029411765,-0.000217675,-1.951470588,-0.069089402
linq4j,0.86039655,1,0.375483284,13191,4953,221,14307,1.675384732,18.133,-0.979541325,9.487290058,8.507748733,5.398162702,9.568504207,0.51604283,2.897733483,-2.663234403,-7.58E-05,-0.000201898,-0.004524887,-6.99E-05,-0.596877828,-0.055148073
Liqp,0.854823774,1,0.454164273,17410,7907,234,1876,1.344055141,17.517,-0.789296311,9.764800033,8.975503722,5.455321115,7.53689713,0.295691269,2.863171838,-2.201846465,-5.74E-05,-0.00012647,-0.004273504,-0.000533049,-0.744017094,-0.057087401
low-gc-membuffers,0.740173249,1,0.512041598,3654,1871,51,3183,1.395730706,14.4955,-0.669349411,8.203577737,7.534228326,3.931825633,8.065579427,0.333418082,2.673838256,-1.952966328,-0.000273673,-0.000534474,-0.019607843,-0.000314169,-0.716470588,-0.068986927
metrics-statsd,0.641062583,1,0.757352941,408,309,11,310,2.696078431,14.4415,-0.277925898,6.011267174,5.733341277,2.397895273,5.736572297,0.991798284,2.670106006,-1.32038835,-0.00245098,-0.003236246,-0.090909091,-0.003225806,-0.370909091,-0.069244885
mimecraft,0.629268709,1,0.784511785,297,233,14,394,4.713804714,19.826,-0.242693685,5.693732139,5.451038454,2.63905733,5.976350909,1.550495377,2.986994208,-1.274678112,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212142857,-0.050438818
multi-thread-context,1,1,0.034883721,258,9,31,580,12.01550388,24.6855,-3.355735008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197806,3.206216027,-28.66666667,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225806,-0.040509611
nar-maven-plugin,0.797503512,1,0.092810083,27928,2592,465,23665,1.664995703,24.8805,-2.377199991,10.23738505,7.860185057,6.142037406,10.07175244,0.509822543,3.214084364,-10.77469136,-3.58E-05,-0.000385802,-0.002150538,-4.23E-05,-0.600602151,-0.040192118
obd-java-api,0.572235556,1,0.434673367,796,346,42,1111,5.27638191,8.17,-0.833160411,6.679599186,5.846438775,3.737669618,7.01301579,1.663240618,2.100468909,-2.300578035,-0.001256281,-0.002890173,-0.023809524,-0.00090009,-0.18952381,-0.122399021
parsii,0.743267441,1,0.509168943,2563,1305,16,1713,0.624268435,7.9785,-0.674975407,7.848933726,7.17395832,2.772588722,7.446001498,-0.471174818,2.076750424,-1.963984674,-0.000390168,-0.000766284,-0.0625,-0.000583771,-1.601875,-0.125336843
patricia-trie,0.778580712,1,0.441108545,3031,1337,17,2782,0.560871,17.914,-0.8184643,8.016647877,7.198183577,2.833213344,7.930925372,-0.578264347,2.88558253,-2.267015707,-0.000329924,-0.000747943,-0.058823529,-0.000359454,-1.782941176,-0.055822262
PauselessHashMap,0.639897778,1,0.51284491,1051,539,1550,958,147.4785918,28.4195,-0.6677818,6.957497371,6.289715571,7.34601021,6.864847778,4.993683025,3.347075529,-1.949907236,-0.000951475,-0.001855288,-0.000645161,-0.001043841,-0.006780645,-0.035187107
