name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
compress,0.975182887,1,0.474886641,5734,2723,43,4387,0.749912801,39.411,-0.744679154,8.654168646,7.909489493,3.761200116,8.386400901,-0.287798345,3.674044965,-2.1057657,-0.000174398,-0.000367242,-0.023255814,-0.000227946,-1.333488372,-0.025373627
computoser,0.942746575,1,0.049948683,14615,730,12,11626,0.082107424,8.757,-2.996759143,9.589803678,6.593044534,2.48490665,9.360999248,-2.499726842,2.169853381,-20.02054795,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.17916667,-0.114194359
Confucius,0.846890435,1,0.927419355,620,575,84,503,13.5483871,57.003,-0.075349437,6.429719478,6.354370041,4.430816799,6.22059017,2.606267507,4.043103898,-1.07826087,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809524,-0.017542936
cors-filter,0.833335697,1,0.829411765,510,423,72,588,14.11764706,38.207,-0.187038547,6.234410726,6.047372179,4.276666119,6.376726948,2.647425579,3.643018745,-1.205673759,-0.001960784,-0.002364066,-0.013888889,-0.00170068,-0.070833333,-0.026173214
cucumber-reporting,0.954173786,1,0.653787299,2614,1709,124,2245,4.743687835,100.127,-0.424973211,7.868636894,7.443663683,4.820281566,7.7164608,1.556814857,4.60643938,-1.529549444,-0.000382555,-0.000585138,-0.008064516,-0.000445434,-0.210806452,-0.009987316
DiskLruCache,0.870759076,1,0.575498575,1053,606,61,780,5.79297246,33.134,-0.552518526,6.959398512,6.406879986,4.110873864,6.65929392,1.756645538,3.500559946,-1.737623762,-0.000949668,-0.001650165,-0.016393443,-0.001282051,-0.172622951,-0.030180479
DotCi,0.957869352,1,0.22022715,9245,2036,221,10038,2.390481341,200.05,-1.513095766,9.131838144,7.618742378,5.398162702,9.21413317,0.871494744,5.298567335,-4.540766208,-0.000108167,-0.000491159,-0.004524887,-9.96E-05,-0.418325792,-0.00499875
dropwizard-guice,0.647064935,1,0.509933775,302,154,15,381,4.966887417,5.192,-0.673474415,5.710427017,5.036952602,2.708050201,5.942799375,1.60279337,1.647118979,-1.961038961,-0.003311258,-0.006493506,-0.066666667,-0.002624672,-0.201333333,-0.192604006
efflux,0.943912605,1,0.419014085,2840,1190,41,3529,1.443661972,32.07,-0.869850745,7.951559331,7.081708586,3.713572067,8.168769824,0.367182922,3.467921014,-2.386554622,-0.000352113,-0.000840336,-0.024390244,-0.000283366,-0.692682927,-0.03118179
evernote-sdk-java,0.576397436,1,0.002102199,74208,156,14,2370,0.01886589,6.16,-6.164771233,11.21462724,5.049856007,2.63905733,7.770645234,-3.970399724,1.818076778,-475.6923077,-1.35E-05,-0.006410256,-0.071428571,-0.000421941,-53.00571429,-0.162337662
